"","C_defl_rate","C_deflator","C_n","C_real","C_share","cpi","deflator_gdp","G_n","G_share","gdp_n","gdp_real","I_deflator","i_n","I_n","I_real","I_share","infl_cpi","infl_gdp_deflator","NX_n","NX_share","profitShare","R_n","R_real","W_n","W_real","wageShare","interest_real"
"13",0.0733880394397595,41.2664677,75.5608,183.104598506744,0.536960407050906,38.642217,40.7962723,11.35352,0.0806819239693148,140.7195,344.932250096782,61.9583328,4.9633333333,53.7562,86.7618568329198,0.382009600659468,6.44760846402388,9.35081350133196,1.3703,0.0097378117460622,0.510965431230213,71.9028,176.24845591591,68.3148,167.453534719151,0.485467898905269,-1.48427513072388
"14",0.0864975108825057,44.9948375,84.6619,188.15914159041,0.539881185441773,42.0252157,44.1172446,13.06487,0.0833134798916946,156.8158,355.452389245542,66.4167269,5.5941666667,59.2963,89.2791662095592,0.378127076480814,8.39244284658505,7.82600279925467,1.2323,0.00785826428204301,0.497949823933558,78.0864,176.99745464158,77.8813,176.532557067265,0.496641920010611,-2.79827617988505
"15",0.0952877921369035,49.4932132,92.6733,187.244460418262,0.544730433576348,46.1299927,47.1757161,14.66894,0.0862235190319697,170.1269,360.623884626099,70.5934797,7.1291666667,60.3438,85.4806991473463,0.354698757221815,9.31935273806497,6.70285307571121,-0.3648,-0.00214428170971199,0.487546061204901,82.9447,175.820754525865,86.5881,183.543795745371,0.50896183966204,-2.19018607136497
"16",0.0641599288958545,52.7727776,95.9256,181.77098944286,0.567648750559213,49.2191315,50.5407633,15.80383,0.0935206488523418,168.9876,334.359018277826,70.6980179,6.4358333333,52.2276,73.8742068750417,0.309061729973087,6.481906021979,6.89009339451587,8.6116,0.0509599520911594,0.46435714809844,78.4706,155.262000168486,88.7348,175.570755576618,0.525096515957384,-0.0460726886790006
"17",0.0221766016785194,53.9561718,99.1225,183.709289768404,0.579108340538898,50.0634741,51.9204496,16.7019,0.0975783459138604,171.164,329.665866375703,68.6124333,4.9825,45.3606,66.1113413682123,0.265012502629058,1.70092827761041,2.69325270996572,9.6444,0.0563459605991914,0.46835432684443,80.1654,154.400434929978,89.287,171.968849822903,0.521645906849571,3.28157172238959
"18",0.0114087037664121,54.5752666,103.2977,189.275667230547,0.587647299094673,50.7122963,52.0544003,16.88508,0.096057043448184,175.7818,337.688646852013,69.8409527,4.045,46.9203,67.1816437005734,0.266923538159241,1.28767294461625,0.25765995187399,9.047,0.0514672167425752,0.469269856151206,82.4891,158.467102732139,91.3816,175.550192631842,0.519858142310524,2.75732705538375
"19",0.00606330297907309,54.9071782,106.2331,193.477617103259,0.580897595384889,51.2340208,53.9350111,17.43472,0.0953355114762614,182.8775,339.070107283245,70.7331483,3.3266666667,50.4197,71.2815719528774,0.275702040983719,1.02353683705005,3.54904922774542,8.3264,0.0455299312381239,0.459726319530833,84.0736,155.879452484251,96.0659,178.114174894459,0.525301909748329,2.30312982964995
"20",0.0429133973376974,57.3147202,112.3042,195.943031054001,0.587485509581462,53.1028535,55.0074394,18.33727,0.0959258906637763,191.1608,347.518084981065,71.6431199,3.4525,53.6709,74.9142416953843,0.28076310624354,3.58268848999561,1.96886142729453,1.953,0.0102165297487769,0.454833836225837,86.9464,158.062983749794,101.1826,183.943483106396,0.529306217592728,-0.130188489995611
"21",0.0441755232759746,59.9033848,120.4603,201.090974077979,0.586551992450706,55.2389162,56.4963016,19.37833,0.0943580422086554,205.3702,363.510874488818,76.3248161,4.7625,62.85,82.345432601704,0.306032715554642,3.94370434741229,2.67067396992227,-4.6036,-0.0224161051603397,0.451671664146015,92.7599,164.187561615538,109.0557,193.031573592421,0.531020079836315,0.818795652587709
"22",0.0578929950432698,63.4737228,128.8691,203.027480215797,0.584516442729734,58.8240929,59.6946186,21.1529,0.0959440072245231,220.4713,369.331951808467,81.6352675,5.57,68.1359,83.463804415169,0.309046574316022,6.2883805672115,5.50666980293011,1.1345,0.00514579448662933,0.447490897908254,98.6589,165.272686740979,118.1475,197.919850684832,0.535886076781876,-0.718380567211504
