"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"TTL_H53",3.103,0.093,0.006,0,0.005,0.017,1.098,0.008,10.364,0.63,0.799,4.764,0.282,146.731,3.764,5.524,3.622,11.02,9.51,3.704,180.688,4.506,5.687,0.235,0.025,1.899,18.92,84.588,13.487,30.616,454.545,19.379,18.777,5.176,90.084,675.063,116.643,6.234,214.639,118.495,262.727,95.169,242.58,175.136,184.684,11.973,29.39,51.813,32.863,0,217.77,0.018,0.08,152.415,29.226,23.67,20.217,2443.56,-57.885,6180.135
"TTL_I",28.301,1.655,0.045,0,0.027,0.089,4.757,0.048,138.651,7.213,4.343,10.708,0.619,73.992,77.227,11.223,11.697,2.36,1.887,53.947,155.654,27.878,103.359,0.491,0.286,22.515,24.095,396.625,21.296,142.595,1136.592,220.799,75.377,86.031,257.219,8.349,17.743,32.042,19.355,49.315,469.45,91.919,587.318,1171.552,241.479,53.705,159.779,60.298,155.138,0,14062.9,20.758,62.319,53.847,-0.55,5865.316,6114.416,129.624,-5950.371,26575.301
"TTL_J58T60",9.127,0.143,0.007,0,0.013,0.047,3.285,0.028,46.091,9.383,1.37,7.755,0.754,38.001,31.055,8.829,2.625,8.048,9.003,62.36,89.354,13.536,19.475,0.874,0.051,4.979,40.267,36.719,28.93,76.506,1987.327,32.962,163.547,15.195,34.77,2.49,226.594,450.416,125.989,241.312,846.801,26.107,1130.51,200.324,615.683,168.878,92.649,225.573,131.813,0,1922.409,30.44,249.275,863.263,0,77.809,17.946,5379.606,-8085.895,7722.409
"TTL_J61",114.172,4.675,0.036,0,0.09,0.199,15.679,0.114,80.813,6.783,18.407,34.325,1.521,84.866,42.597,30.95,18.957,6.204,4.883,104.011,457.073,67.996,111.945,1.26,0.388,28.77,67.443,293.408,42.21,171.809,2530.157,80.7,110.05,21.829,173.588,86.457,369.762,162.503,4730.076,310.706,1815.234,646.155,1796.536,714.615,934.706,80.396,271.891,319.402,403.929,0,7825.911,0.093,0.876,122.001,9.661,349.107,240.078,1142.648,-9003.738,18056.914
"TTL_J62_63",129.522,6.506,0.011,0,0.063,0.132,10.75,0.092,140.367,6.68,24.233,42.117,0.18,148.905,62.111,27.073,14.705,11.174,11.786,135.11,2663.544,74.586,194.664,2.904,0.446,62.055,83.967,753.322,38.652,100.166,3582.16,119.125,23.532,288.454,447.887,188.419,82.655,233.052,695.617,9782.929,2560.535,571.765,2486.912,627.439,418.407,96.62,184.352,292.57,297.375,0,234.426,0.246,5.307,20234.896,0.03,17.25,4.239,15154.088,-25203.903,38172.203
"TTL_K",345.206,6.127,0.874,0,0.24,0.525,37.139,0.295,504.377,15.351,88.368,95.13,15.716,998.745,104.421,96.58,84.478,82.02,78.542,79.837,537.154,137.614,300.992,8.596,0.73,50.703,73.818,738.551,101.04,762.827,5033.166,823.891,535.391,114.824,289.07,225.72,306.335,62.501,121.354,644.678,17291.019,16845.659,3045.563,1115.423,1960.117,170.252,263.404,479.189,275.563,0,19105.126,0.504,20.229,1861.457,0,304.278,257.965,44908.351,-11895.319,109511.706
"TTL_L",18.818,0.262,0.045,0,0.217,0.695,52.422,0.305,108.106,23.503,72.524,46.766,3.483,24.841,37.702,95.315,59.948,5.633,4.346,214.045,219.012,20.653,172.745,1.018,0.68,30.77,116.239,374.368,45.974,910.255,4033.015,357.529,1.329,277.131,366.959,32.257,1026.139,206.077,621.874,840.849,2015.258,561.462,2449.19,925.043,3315.716,391.646,788.416,848.096,570.431,0,56193.262,199.192,238.151,5650.27,0,1138.329,1084.096,192.293,-1441.102,85543.6
"TTL_M",547.283,65.849,0.154,0,0.495,1.581,95.131,1.134,1925.507,85.206,142.324,473,37.463,1654.492,505.845,317.21,228.224,84.463,82.279,1115.977,3105.184,541.694,1457.082,30.35,5.161,442.803,847.997,3466.134,377.192,4292.456,17769.762,1489.249,150.172,574.281,1232.935,77.004,243.193,764.372,373.935,1521.141,9829.562,2498.787,25719.936,3458.798,3287.765,336.586,1435.443,1728.433,2341.672,0,1513.625,48.946,143.401,25584.942,15.472,135.548,140.493,13866.713,-29751.492,108460.343
"TTL_N",192.159,5.951,1.938,0,0.261,0.716,48.69,0.583,657.897,14.506,90.772,180.653,17.715,235.468,106.523,37.49,50.258,21.98,21,288.107,878.177,378.202,357.045,5.16,0.864,73.141,184.545,559.154,435.42,1168.142,5345.598,1297.283,1511.7,456.86,935.895,235.478,388.246,483.373,198.566,848.433,1434.357,816.786,3705.526,7172.072,1133.105,202.413,931.105,653.992,1230.318,0,8358.904,6.478,148.587,262.739,0,281.884,221.376,10091.44,-9268.465,45096.567
"TTL_O",23.188,112.958,0.125,0,0.066,0.273,17.141,0.14,76.604,23.095,247.186,31.704,0.749,196.466,116.789,37.35,23.578,32.557,28.803,219.464,93.304,20.625,59.035,0.968,0.781,39.98,84.932,606.127,365.805,186.009,1911.481,248.313,123.13,30.811,77.326,83.508,252.264,33.877,57.412,97.802,361.496,2620.039,2329.583,188.787,3722.279,23.208,96.438,81.191,150.32,0,3919.461,2550.271,54473.404,4380.71,0.309,39.502,35.994,1248.274,-459.712,81323.281
"TTL_P",1.428,0.066,0.002,0,0.002,0.007,0.362,0.003,7.88,0.551,1.165,1.754,0.043,4.212,7.969,1.197,0.868,0.682,0.578,2.625,19.695,4.35,7.456,0.084,0.021,1.504,4.076,13.552,10.225,4.789,76.942,20.858,10.882,14.955,5.909,1.395,3.393,3.293,3.489,32.045,19.115,13.206,104.177,23.602,18.227,4.429,5.121,4.989,6.063,0,971.51,10.01,5769.695,1320.362,0,1055.075,337.247,102.415,-2290.403,7745.149
"TTL_Q",24.892,0.609,0.012,0,0.009,0.041,2.011,0.025,108.275,4.305,6.278,7.378,0.193,18.025,71.68,3.553,4.255,2.941,2.58,51.35,173.452,19.957,50.947,0.497,0.572,21.807,25.495,48.729,10.65,48.972,118.982,42.462,13.954,4.683,31.428,2.904,37.081,14.125,3.818,11.445,44.729,146.018,294.848,50.25,251.621,14.364,447.974,7.11,54.007,0,55015.621,6633.39,12857.643,165.848,0.02,306.227,343.109,211.574,-614.028,77220.697
"TTL_R",2.223,0.118,0.003,0,0.002,0.006,0.468,0.003,26.797,0.655,0.552,6.201,0.138,4.93,114.155,1.313,1.087,0.387,0.461,4.597,6.35,11.502,22.22,0.097,0.336,9.794,18.008,102.363,10.824,5.997,144.696,98.583,2.424,1.949,29.416,0.65,29.198,474.121,22.691,12.666,29.027,10.976,45.206,307.733,12.86,7.727,45.685,1210.829,101.34,0,8429.061,247.936,3088.858,211.964,0,646.468,422.897,2854.701,-4178.994,14662.255
"TTL_S",30.205,2.076,0.008,0,0.012,0.085,4.867,0.036,102.68,1.579,16.475,28.417,0.658,24.469,32.538,8.534,8.31,3.662,3.246,24.694,131.621,68.26,48.461,0.343,0.227,13.981,34.252,604.047,53.971,110.452,908.346,160.419,31.899,58.648,59.178,2.384,204.584,25.059,23.804,136.133,204.564,33.424,610.626,207.806,147.709,13.692,187.136,74.557,125.078,0,9193.667,5321.949,1.294,29.873,0,361.215,332.337,0.288,-518.461,19295.377
"TTL_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2378.859,0,0,0,0,0,0,0,0,2378.859
"IMP_OTHER",-3.56,0.315,0.028,0,0.023,0.13,9.366,0.049,-12.006,14.738,6.124,12.485,5.902,34.642,149.468,14.701,11.314,2.528,3.05,23.079,93.943,40.26,55.648,12.917,0.203,14.735,61.695,78.539,8.226,85.367,224.933,53.541,60.69,35.631,23.026,7.942,13.891,13.487,25.479,50.888,70.724,30.001,109.558,51.323,55.095,11.556,53.276,27.151,26.775,0,878.375,2.016,8.958,366.441,0,1274.517,0,0,0,4199.186
"TXS_INT_FNL",-600.767,0.595,0.023,0,0.099,0.518,38.584,0.235,-1701.515,52.734,71.312,84.785,2.93,155.818,216.143,149.181,57.843,20.478,15.344,142.338,462.653,196.437,356.952,42.411,1.137,76.15,279.064,-1595.296,66.307,581.773,1905.431,316.265,122.772,77.411,160.58,58.068,166.246,91.929,65.669,158.87,727.562,1341.196,814.967,336.084,492.983,59.302,377.315,156.264,227.201,0,7596.506,29.191,38.703,3702.89,0,0,807.836,2273.578,0,21279.086
"TTL_INT_FNL",6801.489,583.647,21.27,0,4.156,17.711,1327.727,8.138,31893.822,2192.484,5623.187,3945.118,373.078,17980.706,62440.566,4655.64,4060.458,1928.529,1793.931,11519.931,37887.238,14537.83,18698.897,1253.347,68.437,4284.725,9930.029,35679.442,3885.671,46119.621,93612.668,14816.914,21420.572,5764.537,9396.102,2887.127,13523.157,4425.916,8999.254,19369.59,41414.641,37612.183,58698.3,23696.641,25085.907,3321.705,22790.685,9740.177,10043.217,0,340072.586,15123.269,80044.682,184397.164,-559.819,16533.867,14562.981,342062.878,-292834.192,1455539.532
"VALU",4076.153,383.236,34.896,0,3.664,18.32,870.557,14.684,12786.552,1068.31,3481.787,2569.454,138.1,8171.4,32569.247,3233.989,2700.402,779.333,778.532,10106.5,20626.77,4996.974,11847.375,579.71,46.749,1794.597,6237.841,9388.35,2430.575,35159.141,106443.59,15531.968,546.056,2584.66,5589.044,3293.006,13052.137,3296.492,9057.655,18802.606,68097.034,47928.258,49762.016,21399.917,56237.35,4423.441,54429.992,4922.076,9252.155,2378.859,0,0,0,0,0,0,0,0,0,673921.511
"LABR",1180.907,373.052,16.685,0,1.002,7.489,603.503,11.443,7380.978,848.474,2628.711,2017.474,33.012,3453.236,8002.578,2226.573,1754.354,547.514,493.69,6621.378,11088.884,3142.131,7629.41,372.515,35.287,977.155,4248.879,3635.589,1450.249,27817.371,52149.009,10271.454,340.641,1247.804,3600.531,3094.836,11145.079,2769.588,3678.751,13067.724,38514.376,4197.17,38652.319,17032.57,41147.167,4785.234,44361.099,3526.754,6862.526,2378.859,0,0,0,0,0,0,0,0,0,401423.013
"OTXS",-494.437,-231.822,-5.86,0,-0.083,-2.536,-160.952,-4.337,103.372,-153.029,-487.271,-527.699,-0.9,186.94,5024.445,-328.885,-246.418,-59.83,-53.834,-30.844,84.834,-47.782,-462.836,-31.448,-4.05,44.017,-201.843,-1140.626,-252.425,-8186.28,8436.126,-1183.419,-76.147,432.544,-762.174,-511.447,-2975.72,-1019.804,-573.96,-887.777,-5718.289,-209.067,-9509.627,-3578.845,920.154,-1048.982,-2339.137,-763.082,-1679.574,0,0,0,0,0,0,0,0,0,0,-30720.643
"CFC",655.105,72.345,8.836,0,1.252,5.86,165.536,4.474,2392.484,150.619,513.899,590.438,36.23,1525.46,7067.088,624.631,565.151,174.887,153.626,1155.118,4134.349,926.844,1938.292,97.352,7.338,459.49,743.682,3756.686,674.91,3568.125,11383.612,3372.434,124.029,198.863,1492.505,263.219,1304.104,600.318,3444.296,2720.994,6469.743,17067.633,7134.312,3184.877,13882.097,538.641,5134.064,963.384,967.846,0,0,0,0,0,0,0,0,0,0,112417.08
"NOPS",2734.578,169.661,15.235,0,1.493,7.507,262.47,3.104,2909.719,222.246,826.448,489.242,69.758,3005.763,12475.135,711.67,627.315,116.762,185.05,2360.849,5318.702,975.781,2742.51,141.29,8.173,313.935,1447.123,3136.7,557.84,11959.925,34474.844,3071.5,157.533,705.449,1258.181,446.398,3578.674,946.39,2508.569,3901.665,28831.204,26872.523,13485.011,4761.315,287.932,148.548,7273.966,1195.02,3101.356,0,0,0,0,0,0,0,0,0,0,190802.062
"OUTPUT",10877.642,966.883,56.165,0,7.82,36.031,2198.284,22.822,44680.373,3260.794,9104.974,6514.572,511.178,26152.106,95009.813,7889.629,6760.859,2707.863,2572.463,21626.431,58514.008,19534.804,30546.272,1833.057,115.186,6079.322,16167.87,45067.792,6316.245,81278.762,200056.258,30348.881,21966.629,8349.197,14985.145,6180.133,26575.294,7722.409,18056.909,38172.196,109511.675,85540.441,108460.316,45096.559,81323.257,7745.147,77220.677,14662.253,19295.372,2378.859,0,0,0,0,0,0,0,0,0,1430057.627
