country;category;year;value
Allemagne;agdpro;2002;43038.5654
Allemagne;agdpro;2003;42694.5926
Allemagne;agdpro;2004;43085.0635
Allemagne;agdpro;2005;43240.0257
Allemagne;agdpro;2006;44720.1366
Allemagne;agdpro;2007;46052.4534
Allemagne;agdpro;2008;46402.3681
Allemagne;agdpro;2009;43714.91
Allemagne;agdpro;2010;45160.9726
Allemagne;agdpro;2011;46218.1677
Allemagne;agdpro;2012;46282.4916
Allemagne;agdpro;2013;46313.8048
Allemagne;agdpro;2014;47200.8527
Allemagne;agdpro;2015;47779.4852
Allemagne;agdpro;2016;48712.2767
Allemagne;agdpro;2017;49861.1476
Allemagne;agdpro;2018;50199.9329
Allemagne;agdpro;2019;50590.0265
Allemagne;agdpro;2020;48627.4861
Allemagne;agdpro;2021;49888.8767
Allemagne;agdpro;2022;50826.667
Autriche;"anninc
";1950;8040.1964
Autriche;"anninc
";1951;8585.6303
Autriche;"anninc
";1952;8487.3908
Autriche;"anninc
";1953;8795.8777
Autriche;"anninc
";1954;9715.7567
Autriche;"anninc
";1955;10912.5855
Autriche;"anninc
";1956;11690.6871
Autriche;"anninc
";1957;12460.695
Autriche;"anninc
";1958;12868.5378
Autriche;"anninc
";1959;13161.6748
Autriche;"anninc
";1960;14210.4931
Autriche;"anninc
";1961;14866.4465
Autriche;"anninc
";1962;15116.0455
Autriche;"anninc
";1963;15608.4524
Autriche;"anninc
";1964;16517.3539
Autriche;"anninc
";1965;17009.2957
Autriche;"anninc
";1966;17949.4552
Autriche;"anninc
";1967;18315.4345
Autriche;"anninc
";1968;19064.9759
Autriche;"anninc
";1969;20333.7168
Autriche;"anninc
";1970;21723.0243
Autriche;"anninc
";1971;22750.6318
Autriche;"anninc
";1972;24033.1411
Autriche;"anninc
";1973;25109.1242
Autriche;"anninc
";1974;26033.0035
Autriche;"anninc
";1975;25851.8744
Autriche;"anninc
";1976;27097.4508
Autriche;"anninc
";1977;28202.6452
Autriche;"anninc
";1978;27884.0181
Autriche;"anninc
";1979;29331.0971
Autriche;"anninc
";1980;29504.5047
Autriche;"anninc
";1981;29012.0048
Autriche;"anninc
";1982;29384.4962
Autriche;"anninc
";1983;30211.9966
Autriche;"anninc
";1984;29956.2576
Autriche;"anninc
";1985;30526.1584
Autriche;"anninc
";1986;30896.231
Autriche;"anninc
";1987;31054.4748
Autriche;"anninc
";1988;32009.0539
Autriche;"anninc
";1989;32966.703
Autriche;"anninc
";1990;34044.4536
Autriche;"anninc
";1991;34537.7908
Autriche;"anninc
";1992;34822.9273
Autriche;"anninc
";1993;34583.0033
Autriche;"anninc
";1994;35230.7701
Autriche;"anninc
";1995;36090.9239
Autriche;"anninc
";1996;36944.3796
Autriche;"anninc
";1997;37420.8784
Autriche;"anninc
";1998;38623.1029
Autriche;"anninc
";1999;39446.2309
Autriche;"anninc
";2000;40791.0702
Autriche;"anninc
";2001;40770.4176
Autriche;"anninc
";2002;41356.6916
Autriche;"anninc
";2003;41435.6739
Autriche;"anninc
";2004;42297.4092
Autriche;"anninc
";2005;42920.244
Autriche;"anninc
";2006;44309.4585
Autriche;"anninc
";2007;45666.2986
Autriche;"anninc
";2008;46329.9734
Autriche;"anninc
";2009;43428.652
Autriche;"anninc
";2010;44481.0055
Autriche;"anninc
";2011;45294.9235
Autriche;"anninc
";2012;44968.7609
Autriche;"anninc
";2013;44524.5435
Autriche;"anninc
";2014;44263.2227
Autriche;"anninc
";2015;43597.5012
Autriche;"anninc
";2016;44413.3728
Autriche;"anninc
";2017;44506.1235
Autriche;"anninc
";2018;45307.9477
Autriche;"anninc
";2019;46007.2529
Autriche;"anninc
";2020;42282.8036
Autriche;"anninc
";2021;44469.1907
Autriche;"anninc
";2022;47444.936
Autriche;"agdpro
";1950;9408.4792
Autriche;"agdpro
";1951;10045.7335
Autriche;"agdpro
";1952;10048.5244
Autriche;"agdpro
";1953;10478.6944
Autriche;"agdpro
";1954;11549.3747
Autriche;"agdpro
";1955;12843.5128
Autriche;"agdpro
";1956;13767.4851
Autriche;"agdpro
";1957;14650.1521
Autriche;"agdpro
";1958;15200.2375
Autriche;"agdpro
";1959;15563.7981
Autriche;"agdpro
";1960;16685.2728
Autriche;"agdpro
";1961;17447.0941
Autriche;"agdpro
";1962;17796.235
Autriche;"agdpro
";1963;18450.6069
Autriche;"agdpro
";1964;19493.5643
Autriche;"agdpro
";1965;20136.2144
Autriche;"agdpro
";1966;21238.9901
Autriche;"agdpro
";1967;21755.3987
Autriche;"agdpro
";1968;22635.0888
Autriche;"agdpro
";1969;24023.8381
Autriche;"agdpro
";1970;25496.5004
Autriche;"agdpro
";1971;26717.61
Autriche;"agdpro
";1972;28225.9957
Autriche;"agdpro
";1973;29413.2425
Autriche;"agdpro
";1974;30479.3643
Autriche;"agdpro
";1975;30395.3584
Autriche;"agdpro
";1976;31736.6625
Autriche;"agdpro
";1977;33175.741
Autriche;"agdpro
";1978;32950.5158
Autriche;"agdpro
";1979;34566.8161
Autriche;"agdpro
";1980;34952.4248
Autriche;"agdpro
";1981;34607.7493
