"","X","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit.ID"
"292",292,6,"OW","Total",21431,36.814,1718,266,0.859,54897,43000,0.481,42426.02734375,33846.15234375,0.463596731424332,62318,48500,0.47,46851.94140625,39400,0.434205174446106,0,1500,5900,16300,22000,26700,35600,43000,50100,58700,64100,70700,95000,125700,139200,159800,195500,277900,385100,1286500,NA,4168,3155,1770,2208,2696,2969,2479,1748,1219,750,548,403,280,220,141,109,95,84,51,54,48,404,2010,NA
"293",293,7,"NW","Total",24735,75.426,3049,385,0.875,71089,48700,0.515,55321.94140625,39700,0.497367084026337,78137,54600,0.498,59642.66796875,44333.33203125,0.468088507652283,0,2500,8900,22800,28200,32900,40800,48700,57100,68000,74900,83850,117000,164200,181300,209900,270300,415100,639200,2063600,NA,3896,2639,1710,2257,2990,3156,2809,2136,1568,1178,795,654,503,373,260,195,210,153,132,116,87,814,2010,NA
"294",294,8,"GL","Total",22791,25.116,1102,208,0.817,49518,42100,0.422,38345.53515625,33600,0.396541953086853,56984,47700,0.414,42984.59765625,38866.66796875,0.366178065538406,0,1100,7100,19000,23700,27800,35300,42100,48900,56800,61600,67700,87900,111300,121700,134500,157200,216600,288600,624800,NA,4378,2905,1851,2669,3258,3314,2733,1864,1298,766,566,385,245,184,143,102,74,58,44,41,34,257,2010,NA
"295",295,9,"ZG","Total",66005,358.153,5426,576,0.878,94570,56000,0.581,70640.71875,44866.66796875,0.554253101348877,101861,62600,0.563,75069.3671875,49900,0.528404533863068,0,0,7100,23400,30200,36400,46400,56000,67200,82300,92900,106000,155900,237500,273600,321800,420000,660700,1067500,3930800,NA,10808,7785,4001,4581,5630,6914,6609,5415,4337,3348,2795,2208,1815,1432,1130,919,758,626,495,462,359,4386,2010,NA
"296",296,10,"FR","Total",158319,197.606,1248,236,0.813,51654,43400,0.449,38337.5078125,33400,0.422147184610367,60125,49800,0.442,43309.171875,39600,0.392482787370682,0,0,3900,15800,21500,26400,35600,43400,51400,60900,66600,73800,97400,124600,134600,149000,171200,222800,299700,605100,1997300,34630,24670,12515,15929,18892,20278,17112,13181,9366,6862,4822,3416,2468,1764,1402,962,802,640,463,366,317,2092,2010,NA
"297",297,11,"SO","Total",158457,195.12,1231,277,0.798,52019,44800,0.44,39992.98046875,36125,0.414299219846725,60212,51000,0.429,45185.51171875,42000,0.382713556289673,0,0,1800,17000,23100,28400,37400,44800,52400,61600,67400,74500,96500,123400,133000,147400,170300,222200,293800,601600,2191800,32968,24836,10377,14634,18783,21479,18239,13529,9960,7180,5060,3405,2403,1782,1260,1019,756,571,431,366,302,2085,2010,NA
"298",298,12,"BS","Total",121411,276.921,2281,285,0.863,60421,43800,0.521,48111.79296875,37000,0.496982216835022,67006,49100,0.496,52431.93359375,41600,0.460859447717667,0,0,2500,15500,20500,25100,35200,43800,53000,64100,70800,79400,111000,152500,167400,190700,229800,313400,441300,1064300,6196400,27251,18950,10770,12403,12999,13885,11791,9575,7068,5013,3793,2778,2102,1609,1291,1076,900,717,556,459,393,3283,2010,NA
"299",299,13,"BL","Total",163556,349.505,2137,462,0.812,64449,51900,0.46,48245.734375,41400,0.431965351104736,72663,58400,0.442,53343.21484375,46700,0.397539496421814,0,0,4700,21200,27900,34000,43400,51900,61000,72000,78900,87600,117800,155300,170900,192100,227500,308300,428800,988400,4663100,29505,21823,9632,11994,15512,19048,18450,15327,11976,8987,6514,4941,3739,2790,2181,1739,1261,1021,885,696,578,4462,2010,NA
"300",300,14,"SH","Total",45286,57.182,1263,261,0.809,52255,44000,0.432,40219.49609375,35600,0.405257403850555,59672,49800,0.415,44926.13671875,40600,0.369846165180206,0,0,5800,18900,24000,28700,36900,44000,51500,60500,65800,72600,95600,122100,133600,150000,173300,231100,316500,667100,NA,8993,6001,3531,4669,5823,6221,5204,4006,2586,1932,1295,965,657,458,328,250,246,160,129,114,80,631,2010,NA
"301",301,15,"AR","Total",31315,50.41,1610,213,0.857,54193,42300,0.476,41463.39453125,33400,0.453646540641785,61762,48200,0.461,46045.2421875,38733.33203125,0.42072132229805,0,0,5500,17000,22000,26400,34700,42300,49900,59200,64900,72000,96700,129400,142600,160600,194000,266100,375000,993100,NA,6539,4528,2614,3485,4049,4116,3350,2480,1794,1182,805,592,436,333,243,203,156,123,94,76,72,584,2010,NA
"302",302,16,"AI","Total",9081,14.412,1587,219,0.851,54176,42400,0.465,41400.81640625,33583.33203125,0.445302665233612,62346,48800,0.45,46187.7734375,38900,0.409125536680222,0,0,7100,18000,22600,27200,35400,42400,49800,59100,65000,72100,95900,130100,142300,163200,194900,297900,407900,NA,NA,1831,1180,823,976,1224,1268,956,698,532,348,247,157,129,86,76,60,35,40,20,33,16,177,2010,NA
"303",303,17,"SG","Total",279512,344.938,1234,226,0.821,50986,42600,0.439,38802.37890625,33600,0.414758801460266,58863,48700,0.426,43575.40625,39095.23828125,0.37976211309433,0,0,5800,17900,22900,27300,35600,42600,49800,58500,63800,70400,92600,120000,130300,146000,172200,233400,320600,685000,2382700,56368,38395,23034,30514,36987,39259,31477,23111,15753,10784,7316,5253,3630,2731,1954,1456,1171,907,724,609,506,3941,2010,NA
"304",304,18,"GR","Total",126881,173.899,1371,230,0.837,48906,39800,0.503,37616.21484375,31800,0.483720660209656,56078,44800,0.48,42016.26953125,37100,0.446643084287643,0,0,1200,8300,13600,19900,30900,39800,48200,57500,63200,70000,92900,120500,131200,148900,179100,250000,352400,817600,2877100,27859,27578,10505,11469,14152,14996,12920,9806,6922,4751,3309,2390,1640,1238,831,623,517,402,315,254,208,2055,2010,NA
"305",305,19,"AG","Total",352754,525.163,1489,377,0.781,58052,49100,0.415,43822.95703125,39200,0.388097077608109,66219,55500,0.404,48833.67578125,44476.19140625,0.355743646621704,0,100,7300,23100,28900,33800,41700,49100,57200,67200,73400,81100,106600,136300,147900,163400,189900,247200,323800,609700,1809300,59021,40573,21473,29530,40851,47884,41924,32931,24479,17836,13092,9740,6904,5129,3977,2799,2333,1767,1389,1095,918,6130,2010,NA
"306",306,20,"TG","Total",143822,191.4,1331,264,0.814,53375,44400,0.432,40428.203125,35000,0.406617999076843,61224,50500,0.424,45131.8125,40400,0.377195090055466,0,300,6700,20000,24900,29300,37300,44400,51700,60800,66500,73500,97100,125600,136400,152400,179800,242000,318600,683400,3284500,26588,18123,10553,15584,18638,19969,16621,12135,8576,5992,4366,2971,2135,1625,1154,878,670,547,419,325,289,2252,2010,NA
"307",307,21,"TI","Total",210984,372.612,1766,196,0.868,52858,38800,0.516,39871.54296875,30761.904296875,0.486820220947266,59703,44500,0.498,44116.1328125,36000,0.45596781373024,0,0,2700,13000,17800,22000,30700,38800,47200,57000,63100,70700,98100,137800,155500,180000,222100,323400,467500,1029700,3194100,46861,35679,22396,24332,25950,24682,19922,14816,10706,7198,5028,3668,2711,2046,1630,1211,965,863,690,772,521,5198,2010,NA
"308",308,22,"VD","Total",404427,936.442,2315,293,0.852,61255,44400,0.526,45208.4609375,35600,0.493988543748856,69429,50700,0.501,50242.22265625,41111.109375,0.454748928546906,0,0,0,13500,19700,25200,35400,44400,54300,66300,73900,83800,119300,166200,185800,214700,261900,368000,509100,1060800,3449600,92865,71444,30433,37349,42911,43472,37432,30391,22956,17121,13208,9957,7792,6117,4817,3872,3144,2641,2157,1713,1520,13980,2010,NA
"309",309,23,"VS","Total",218654,222.816,1019,172,0.838,41940,34500,0.528,31792.3671875,27100,0.507961392402649,48443,39000,0.52,35701.375,32478.8359375,0.480891615152359,0,0,0,3600,6200,11900,24700,34500,43300,52500,57900,64400,84600,108800,118500,132700,157000,210300,287000,613900,2208700,57844,62751,15362,20770,23900,24533,20408,14857,10601,7005,4624,3228,2115,1582,1124,827,795,501,409,441,265,2556,2010,NA
"310",310,24,"NE","Total",103114,121.637,1180,200,0.818,49326,41000,0.467,37182.61328125,32773.50390625,0.435929745435715,56812,46300,0.462,41670.39453125,38300,0.410883605480194,0,0,0,12800,19400,24200,33100,41000,49200,59200,65100,72600,96000,123700,134100,148100,172900,229100,296900,589300,1676800,24996,18609,7735,11258,12640,12435,10217,7865,5916,4224,2996,2151,1472,1108,849,641,484,356,320,231,207,1400,2010,NA
"311",311,25,"GE","Total",256606,888.011,3461,337,0.876,72323,47000,0.571,53102.83984375,37200,0.535878121852875,79458,53000,0.555,57379.9609375,42476.19140625,0.510404825210571,0,0,100,14800,20300,25500,36200,47000,58400,72000,80500,91400,132300,190400,215800,254800,324300,483800,707700,1909600,12482100,57371,43648,19124,24570,24057,23719,21955,19098,15479,12119,9333,6935,5630,4388,3498,2869,2413,1923,1608,1354,1159,11727,2010,NA
"312",312,26,"JU","Total",42813,36.324,848,169,0.813,44511,38400,0.442,33552.49609375,29666.666015625,0.415105551481247,52319,44100,0.441,38188.9296875,35533.33203125,0.387623697519302,0,0,2300,13900,19200,23500,31200,38400,45500,54000,59200,65300,83800,104300,112100,123600,139800,179600,225200,473500,NA,10409,7391,3627,5379,6002,5667,4350,3260,2254,1402,1008,645,414,343,218,141,120,98,69,68,49,308,2010,NA
"313",313,1,"ZH","Total",848534,2215.048,2610,346,0.861,68060,49700,0.51,52050.33203125,40846.15234375,0.477947115898132,75650,55700,0.489,56800.63671875,46000,0.445042878389359,0,0,3500,19100,25100,30900,40700,49700,59400,71100,79000,88900,123300,169700,188200,215600,261800,366800,522300,1202200,4567800,213698,119602,55137,70982,84790,95646,87323,72537,54966,41446,31885,24835,18608,14868,11401,9147,7197,5893,4887,4142,3360,29882,2011,NA
"314",314,2,"BE","Total",623918,635.67,1019,165,0.84,48567,41500,0.464,37744.58984375,33733.33203125,0.443192899227142,55862,47100,0.45,42252.765625,39000,0.409367114305496,0,0,0,11500,18900,24700,33900,41500,49200,58200,63800,70600,93300,119000,128500,141800,163100,212700,283400,587500,2016500,203950,118225,42665,59884,77588,81789,66911,48891,34747,24345,17195,12391,8770,6380,4682,3507,2767,1991,1560,1290,1021,7319,2011,NA
"315",315,3,"LU","Total",223621,294.904,1319,194,0.853,54177,44600,0.446,41477.19140625,35600,0.422695726156235,62294,50700,0.435,46356.1640625,41266.66796875,0.389752894639969,0,0,5800,19100,24300,29200,37500,44600,51900,60800,66400,73500,97700,127300,138700,155400,184500,255000,352700,828600,3042500,62586,29738,16703,22580,27902,31567,26190,19036,13083,9195,6552,4659,3313,2563,1800,1402,1079,867,669,527,483,3713,2011,NA
"316",316,4,"UR","Total",20335,15.198,747,172,0.806,47516,42800,0.393,36374.1328125,33700,0.376233369112015,55489,49100,0.383,41190.5546875,39100,0.338994532823563,0,600,6900,18900,23800,28600,36100,42800,49600,57200,61900,67400,84000,104400,112800,124000,141400,179400,241800,460000,NA,6007,2514,1790,2129,2829,3050,2534,1866,1205,800,459,275,202,169,93,81,54,49,35,28,19,154,2011,NA
"317",317,5,"SZ","Total",87833,508.741,5792,254,0.935,95082,48100,0.643,72102.5078125,38900,0.625460505485535,102877,54700,0.618,76807.5234375,44000,0.592746257781982,0,0,6200,20400,26000,31400,40100,48100,57000,69000,77200,87600,131800,213000,249700,310000,424300,703500,1161000,4098000,NA,22303,11065,6150,7887,9795,11019,9213,6864,5188,3882,2778,2133,1611,1261,1030,739,645,548,484,400,353,4788,2011,NA
"318",318,6,"OW","Total",21579,32.791,1520,192,0.874,54744,43300,0.468,42066.92578125,34333.33203125,0.44728484749794,62561,49200,0.458,46705.31640625,40000,0.417364984750748,0,2000,6500,17300,22600,27400,36000,43300,50600,59300,64800,71700,95600,127900,142400,161700,204400,288100,412500,1093900,NA,5854,2962,1852,2221,2742,2986,2493,1760,1236,831,557,388,311,198,143,126,106,84,61,45,34,443,2011,NA
"319",319,7,"NW","Total",25003,80.113,3204,296,0.9,73990,49100,0.53,57201.25390625,40100,0.510570347309113,81452,55300,0.512,61755.3828125,45111.109375,0.479644358158112,0,2500,9000,22600,28100,33300,41400,49100,57800,68500,75600,84800,117700,163400,184500,216600,267500,419800,631300,2416100,NA,5659,2670,1716,2302,2851,3217,2806,2195,1646,1169,885,647,489,407,287,220,192,131,122,90,84,877,2011,NA
"320",320,8,"GL","Total",23131,22.624,978,170,0.841,49438,42300,0.422,38130.18359375,33500,0.396248936653137,57394,48100,0.413,42992.84765625,39166.66796875,0.363525569438934,0,1100,6800,18500,23300,27500,35400,42300,49300,57000,62000,68200,88000,112100,120800,133900,156100,207100,285200,606900,NA,6359,2965,1985,2628,3129,3397,2786,1896,1311,860,564,398,265,196,131,95,95,59,41,41,33,256,2011,NA
"321",321,9,"ZG","Total",67139,592.961,8832,465,0.933,126048,56400,0.683,92634.6328125,45266.66796875,0.657497942447662,133548,63200,0.663,97185.421875,50380.953125,0.632085561752319,0,0,7000,23400,30500,36700,46700,56400,67800,83000,93500,106800,158500,242800,281900,337800,438100,725000,1205500,5154400,NA,14639,7946,3996,4569,5683,6970,6702,5566,4380,3492,2858,2246,1739,1417,1205,986,786,636,523,430,418,4591,2011,NA
"322",322,10,"FR","Total",161567,197.869,1225,165,0.859,52800,43500,0.46,39535.2578125,33600,0.437106549739838,61579,50100,0.451,44688.26171875,40000,0.405391871929169,0,0,4000,15900,21500,26400,35600,43500,51500,61100,66800,74200,97600,124800,135200,149500,172000,225000,303600,632000,1839700,50939,25254,12649,16326,19160,20512,17411,13490,9660,6942,5044,3507,2553,1866,1340,1053,844,609,463,375,311,2198,2011,NA
"323",323,11,"SO","Total",159963,182.498,1141,201,0.827,52550,45100,0.441,40523.28515625,36500,0.415975332260132,60836,51300,0.43,45775.29296875,42400,0.383778393268585,0,0,2100,17200,23300,28500,37600,45100,52700,62000,67800,74900,97600,123700,133200,147100,170100,222600,296900,595700,2892800,44358,24815,10466,14808,18727,21602,18304,13815,10158,7229,5121,3629,2553,1843,1350,1018,757,559,455,342,310,2102,2011,NA
"324",324,12,"BS","Total",121717,269.525,2214,209,0.881,60938,43900,0.525,48657.36328125,37100,0.501469969749451,67734,49500,0.498,53112.1640625,41800,0.464220553636551,0,0,2800,15600,20300,25200,35100,43900,53100,64100,70700,79300,111100,152800,168700,192400,231600,313000,443000,1193800,5390000,34215,18951,10990,12369,13025,13685,11949,9733,7042,5081,3682,2792,2130,1627,1296,1046,839,686,581,456,436,3321,2011,NA
"325",325,13,"BL","Total",164650,312.834,1900,339,0.831,63638,51700,0.459,47553.171875,41200,0.429165184497833,72174,58300,0.44,52834.5625,46773.50390625,0.393631368875504,0,0,4300,20500,27400,33700,43100,51700,60700,71600,78700,87500,117200,154500,168900,190200,226500,306800,429100,939100,3683600,41071,22574,9773,12049,15456,19156,18426,15499,11911,8829,6702,5009,3765,2800,2214,1631,1323,1061,843,664,555,4410,2011,NA
"326",326,14,"SH","Total",45795,51.626,1127,195,0.83,52185,44100,0.43,40255.7265625,35800,0.404162764549255,59862,50000,0.414,45113.44140625,40952.3828125,0.368533492088318,0,0,5700,18800,24000,28700,36900,44100,51700,60800,66100,72900,95700,122700,132500,147900,173800,230300,317100,648600,NA,12504,6101,3574,4726,5791,6260,5188,4058,2795,1900,1317,996,636,521,326,282,193,160,133,102,89,647,2011,NA
"327",327,15,"AR","Total",31600,43.538,1378,171,0.868,53650,42750,0.464,40853.69921875,33824.07421875,0.438990980386734,61533,49000,0.45,45592.61328125,39200,0.40592023730278,0,100,5600,17400,22300,26800,35200,42750,50400,59600,65300,72500,97650,130000,142400,163200,196950,272150,366900,872500,NA,9135,4501,2622,3463,4028,4167,3450,2526,1761,1232,871,621,460,310,258,203,139,119,83,103,63,620,2011,NA
"328",328,16,"AI","Total",9174,14.408,1571,171,0.881,55357,42600,0.472,42277.3046875,33870.8359375,0.449600279331207,63782,49200,0.456,47230.140625,39569.4453125,0.413225620985031,0,300,7500,18400,22700,27100,35500,42600,50300,59700,65300,73000,96900,129300,144000,166600,208900,299200,438900,NA,NA,2561,1176,815,1046,1174,1263,975,739,508,371,251,175,139,86,62,57,45,26,30,18,20,198,2011,NA
"329",329,17,"SG","Total",283146,321.079,1134,173,0.85,51359,42800,0.44,39122.09375,33900,0.415352255105972,59504,49000,0.427,44048.7734375,39500,0.379887044429779,0,0,5900,18000,23000,27400,35700,42800,50000,58800,64200,70800,93500,120800,131400,146700,173500,237000,323000,681700,2847300,82082,38608,23324,30931,37036,39720,31869,23253,16096,10904,7761,5410,3778,2795,2087,1500,1200,927,739,625,475,4108,2011,NA
"330",330,18,"GR","Total",126416,154.871,1225,179,0.855,48766,40000,0.496,37433.30859375,31923.076171875,0.475305378437042,56285,45300,0.473,42026.50390625,37400,0.437252908945084,0,0,1700,8800,14000,20400,31200,40000,48200,57500,63100,70200,93000,120500,131600,149500,179500,255100,352600,752500,2204600,36009,26816,10670,11450,14172,15331,12911,9570,6964,4740,3327,2383,1675,1191,814,634,534,381,342,250,207,2054,2011,NA
"331",331,19,"AG","Total",358562,486.816,1358,275,0.809,58359,49400,0.416,44153.16015625,39400,0.389595746994019,66814,55900,0.405,49328.94921875,44900,0.356423944234848,0,0,7400,23100,29000,33900,42000,49400,57400,67400,73700,81400,106800,136800,147900,163600,189200,247000,323800,627500,1675300,86276,41267,21688,29922,40716,48465,42886,33672,24926,18396,13354,10049,7178,5290,3881,3013,2321,1834,1464,1141,885,6214,2011,NA
"332",332,20,"TG","Total",146199,176.163,1205,192,0.839,53743,44800,0.431,40611.05859375,35142.85546875,0.406999737024307,62031,51300,0.422,45569.63671875,40857.14453125,0.37590566277504,0,200,6700,20100,25000,29600,37700,44800,52200,61400,67200,74300,98100,126400,137500,153800,179300,240700,317000,687600,2389700,39343,18337,10742,15403,18606,20346,16887,12433,8882,6251,4387,3258,2283,1597,1205,891,758,601,423,361,297,2251,2011,NA
"333",333,21,"TI","Total",212727,348.559,1639,151,0.887,52545,38600,0.518,39785.1953125,30600,0.491039752960205,59617,44400,0.5,44155.85546875,35952.3828125,0.459183663129807,0,0,2200,12500,17300,21600,30400,38600,47100,57000,63100,70600,98000,137500,154300,180800,221000,323200,465300,1064800,3016100,64371,37133,22431,24245,25893,24569,19966,15088,10727,7259,5060,3690,2702,2086,1622,1277,1028,843,668,542,686,5212,2011,NA
"334",334,22,"VD","Total",411996,873.344,2120,199,0.869,60927,44300,0.525,44931.95703125,35600,0.492404133081436,69335,50700,0.5,50091.5,41266.66796875,0.452706158161163,0,0,300,13200,19400,24900,35200,44300,54100,66100,73800,83800,119500,166700,186300,214900,264600,369300,510300,1032200,3425500,125908,73577,31405,38159,43029,44243,38255,30560,22996,17392,13224,10376,7852,6249,4950,3948,3299,2686,2099,1817,1556,14324,2011,NA
"335",335,23,"VS","Total",222640,196.016,880,122,0.86,41463,34300,0.526,31579.451171875,26949.875,0.5075324177742,48176,38900,0.517,35617.13671875,32476.19140625,0.479417085647583,0,0,0,3500,6100,11600,24400,34300,43100,52200,57600,64000,84200,108300,118100,131500,156700,211000,281300,575700,1971600,77109,64153,15914,21288,23983,25185,20676,15259,10589,7006,4709,3175,2153,1659,1090,808,749,542,411,427,283,2581,2011,NA
"336",336,24,"NE","Total",102968,111.555,1083,161,0.842,50051,41500,0.464,37834.1875,33266.66796875,0.433003902435303,57852,47000,0.459,42505.640625,38933.33203125,0.407237678766251,0,0,1000,13700,19900,24800,33500,41500,49700,59700,65900,73300,96900,125500,135600,149300,175200,233600,306000,604400,1592000,32794,17952,7800,11267,12398,12642,10266,7873,5947,4351,3031,2105,1531,1168,887,694,482,347,311,253,190,1473,2011,NA
"337",337,25,"GE","Total",252059,803.667,3188,206,0.893,70912,46100,0.576,51910.2890625,36400,0.539888441562653,78349,52400,0.558,56395.04296875,41900,0.512753844261169,0,0,0,13000,19400,24700,35100,46100,57600,71200,79600,90200,130400,187500,211500,250800,320200,478000,697900,1924300,11739100,75595,45633,18506,24349,23062,23032,21419,18295,15240,11785,8765,6930,5391,4250,3403,2813,2268,1815,1543,1270,1147,11143,2011,NA
"338",338,26,"JU","Total",43191,30.978,717,119,0.84,44455,38600,0.44,33547.8828125,29944.4453125,0.412252962589264,52515,44400,0.439,38330.29296875,35900,0.384264469146729,0,0,2300,13600,19000,23300,31200,38600,45800,54300,59500,65600,84200,105200,113900,124500,142100,178900,228300,434000,NA,14787,7498,3743,5289,5904,5723,4418,3344,2258,1450,1022,626,460,336,224,168,122,102,79,61,45,319,2011,NA
"339",339,1,"ZH","Total",860401,2008.682,2335,350,0.844,65835,50000,0.491,50842.40625,41000,0.463234663009644,73497,56000,0.472,55633.21484375,46266.66796875,0.43057382106781,0,0,3800,19100,25000,30900,40800,50000,59700,71500,79300,89400,123100,169100,187400,213900,258800,362500,511900,1175900,3834900,216162,120608,56469,72066,84697,96221,88505,73644,56058,42075,32450,25414,19110,16620,11386,9016,7525,5989,4898,4167,3494,29989,2012,NA
"340",340,2,"BE","Total",630000,641.317,1018,170,0.836,48823,41900,0.462,38083.24609375,34200,0.441495358943939,56087,47400,0.449,42593.328125,39400,0.408359825611115,0,0,0,11700,19100,24800,34200,41900,49600,58600,64200,71200,94000,119800,129400,142700,164100,213600,284000,567450,1852850,202257,118536,43327,59417,77094,82422,67996,49887,35443,25030,17677,12746,9049,6491,4868,3662,2772,2143,1649,1283,1079,7429,2012,NA
"341",341,3,"LU","Total",227146,302.484,1332,195,0.854,54463,44700,0.448,41679.86328125,35800,0.423469573259354,62574,50800,0.437,46567.32421875,41428.5703125,0.390365868806839,0,0,5700,19000,24200,29100,37600,44700,52200,61100,66800,73900,98200,128200,139600,156100,184300,253300,350400,797000,2703300,63787,30287,17229,22563,28071,31585,26757,19301,13620,9322,6712,4775,3436,2526,1940,1497,1113,870,732,582,451,3777,2012,NA
"342",342,4,"UR","Total",20489,16.061,784,176,0.809,48285,43600,0.395,36844.39453125,34100,0.375502437353134,56516,50000,0.384,41816.4296875,39600,0.337654441595078,0,600,7100,19300,24100,28800,36500,43600,50200,57700,62300,68000,85600,105900,113700,124400,142000,181800,238300,415300,NA,5908,2496,1738,2172,2758,3036,2646,1862,1194,854,501,313,214,164,113,66,56,53,40,27,21,165,2012,NA
"343",343,5,"SZ","Total",89211,402.971,4517,258,0.917,84278,48400,0.596,63981.8125,39100,0.576517462730408,92177,54900,0.572,68755.7890625,44300,0.543247580528259,0,0,6000,20400,25900,31400,40300,48400,57400,69400,77300,88000,132300,211600,249900,308700,413500,673500,1139800,3553500,NA,22670,11370,6094,8095,9755,10969,9447,7066,5320,3912,2869,2173,1676,1299,960,824,695,560,469,413,401,4844,2012,NA
"344",344,6,"OW","Total",21807,35.864,1645,194,0.883,56106,43700,0.476,43068.0859375,34533.33203125,0.455552101135254,63928,49600,0.465,47702.5546875,40300,0.425273954868317,0,1900,6400,17600,23100,27800,36500,43700,51100,59800,65200,72000,95600,129500,143000,163600,204200,304900,434800,1243700,NA,5921,2963,1854,2184,2739,3021,2530,1870,1256,846,576,385,297,201,168,131,94,91,56,55,35,455,2012,NA
"345",345,7,"NW","Total",25161,72.729,2891,294,0.89,71448,49400,0.512,55485.55859375,40300,0.493608325719833,78968,55400,0.495,60088.40234375,45333.33203125,0.462571859359741,0,2500,9300,22600,28100,33400,41600,49400,57900,68600,75900,84800,117000,165200,189700,223900,275400,428000,635200,2260600,NA,5803,2635,1824,2225,2848,3252,2876,2187,1621,1211,940,646,517,343,318,209,175,127,118,85,95,909,2012,NA
"346",346,8,"GL","Total",23298,21.668,930,172,0.831,49218,42600,0.417,38238.36328125,33618.0546875,0.395917922258377,57155,48400,0.409,43115.07421875,39400,0.363137006759644,0,700,6700,18400,23200,27600,35700,42600,49500,57600,62600,68500,88700,112800,122700,136300,158200,212100,282400,631400,NA,6448,2982,1990,2676,3080,3423,2746,2001,1286,880,585,392,276,177,148,113,94,59,47,38,37,268,2012,NA
"347",347,9,"ZG","Total",68323,361.524,5291,466,0.889,95339,56500,0.583,70833.234375,45300,0.553763329982758,102907,63200,0.565,75424.5390625,50533.33203125,0.527478158473969,0,0,6400,22900,29900,36400,46500,56500,68000,83300,94000,107500,159900,245000,283500,341000,440700,709000,1120600,3700000,NA,14834,8390,3998,4711,5632,6995,6672,5623,4433,3616,2796,2308,1894,1414,1243,954,821,718,571,443,395,4696,2012,NA
"348",348,10,"FR","Total",165178,193.005,1168,165,0.852,52482,43700,0.455,39255.4375,33750,0.43138524889946,61291,50300,0.447,44427.58203125,40200,0.399984121322632,0,0,4100,15700,21300,26300,35700,43700,51800,61400,67200,74600,98100,125300,135200,149500,172600,226000,300600,596100,1965100,52177,25881,13164,16512,19092,20834,17999,13691,9912,7227,5146,3676,2645,1991,1432,1055,837,639,503,393,345,2204,2012,NA
"349",349,11,"SO","Total",161860,180.41,1115,202,0.822,52491,45200,0.438,40581.2421875,36700,0.412014871835709,60865,51400,0.428,45869.98828125,42800,0.381281644105911,0,0,2200,17700,23700,28700,37800,45200,52800,62100,67900,75000,97600,124000,133800,147600,171700,222900,296900,601900,2590600,44799,24837,10383,15205,18707,22122,18671,14032,10292,7272,5218,3645,2563,1883,1373,1030,775,539,474,392,312,2135,2012,NA
"350",350,12,"BS","Total",122272,270.989,2216,210,0.88,61189,44200,0.525,48894.12109375,37133.33203125,0.501847326755524,68040,49600,0.499,53384.63671875,42066.66796875,0.464498609304428,0,0,2900,15500,20100,25000,35000,44200,53300,64400,71200,79900,112500,155000,171000,195400,236000,324500,457500,1143900,6569600,34706,19030,11301,12389,12700,13591,11970,9680,7169,4972,3816,2825,2107,1700,1354,1069,894,752,567,472,423,3491,2012,NA
"351",351,13,"BL","Total",165581,312.847,1889,335,0.831,63675,51700,0.46,47604.421875,41380.953125,0.430255770683289,72242,58400,0.441,52907.015625,46937.5,0.394738525152206,0,0,4100,20200,27000,33400,43100,51700,60900,71900,79100,87800,118200,156500,170900,192500,228200,310400,425400,932700,3306500,41946,23085,9766,12220,15274,19099,18337,15555,11766,8983,6803,4937,3787,2883,2160,1743,1376,1096,894,707,559,4551,2012,NA
"352",352,14,"SH","Total",46540,52.279,1123,194,0.832,52084,44100,0.433,40184,35666.66796875,0.407288789749146,59750,49900,0.421,44932.0625,41000,0.375404864549637,0,0,5600,18500,23700,28200,36700,44100,51600,60600,66000,72800,95800,122900,133300,148600,176900,233100,319400,649000,NA,12862,6286,3674,4856,5753,6375,5328,4030,2802,1935,1383,966,655,495,364,264,202,155,136,103,100,678,2012,NA
"353",353,15,"AR","Total",31941,43.28,1355,174,0.864,53652,42900,0.462,41018.03515625,34200,0.437307834625244,61485,49000,0.448,45737.66015625,39600,0.404939562082291,0,0,5600,17300,22500,27100,35500,42900,50500,59800,65600,73000,97800,130000,143500,162900,195900,269500,369800,891100,NA,9226,4501,2645,3479,4039,4271,3468,2553,1767,1299,884,619,441,369,258,180,163,130,93,97,74,611,2012,NA
"354",354,16,"AI","Total",9194,13.856,1507,179,0.872,55208,43100,0.467,42301.76171875,34500,0.445655077695847,63619,49850,0.452,47262.13671875,40066.66796875,0.410051196813583,0,0,6700,18300,22800,27500,36000,43100,51000,60100,66400,73400,98700,135300,151100,173200,215900,306500,432000,NA,NA,2537,1194,797,1006,1156,1242,1024,729,526,378,240,194,119,94,72,49,47,39,34,19,22,213,2012,NA
