"","X","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit.ID"
"24",24,24,"NE","Total",103882,100.996,972,199,0.799,38611,34000,0.501,28557.37109375,26600,0.476238071918488,42812,37100,0.499,31054.609375,30066.666015625,0.458785831928253,0,0,0,0,0,18300,27000,34000,41000,49400,54300,60200,78000,98000,105500,116300,134600,176000,240700,455200,1262100,24716,27757,5051,12902,15135,12474,9572,6796,4535,2933,1832,1247,806,552,399,345,217,187,145,109,102,786,1997,NA
"25",25,25,"GE","Total",200284,470.25,2348,489,0.812,59361,46100,0.481,44244.78125,35600,0.456208258867264,61097,47900,0.478,45119.35546875,36800,0.448117196559906,0,0,0,20600,25400,30000,38200,46100,54600,64800,71100,79100,106700,142200,156300,175900,210900,292100,413900,1120000,6560900,30078,27906,10535,21503,24490,24794,22116,17245,12555,8998,6562,5011,3511,2690,1972,1542,1293,1029,848,621,518,4545,1997,NA
"26",26,26,"JU","Total",39417,26.04,661,159,0.768,37336,33400,0.418,27660.302734375,25700,0.391708195209503,42351,37600,0.416,30631.521484375,29300,0.367427319288254,0,0,0,14700,18800,21900,27800,33400,39200,46300,50500,55400,69900,84800,90500,99100,111500,139900,183100,351100,NA,7837,6530,3990,6774,6776,5230,3726,2459,1513,809,458,324,201,144,89,60,59,42,27,20,31,155,1997,NA
"27",27,1,"ZH","Total",745333,1281.286,1719,348,0.818,52979,42900,0.479,40290.203125,34000,0.457017570734024,58023,47200,0.466,43382.21875,37619.046875,0.431210219860077,0,0,0,15200,21400,26500,35100,42900,50800,60100,66000,73300,98700,130900,144100,163400,196600,273800,386700,887300,2435300,151349,125659,49077,75954,92657,95296,80880,60581,42149,29777,20902,15140,11029,8207,6118,4684,3729,2977,2465,2009,1653,14390,1998,NA
"28",28,2,"BE","Total",561818,544.696,970,188,0.806,42202,35900,0.449,31927.3125,28166.666015625,0.427927523851395,47527,40400,0.433,35173.48046875,31904.76171875,0.395611703395844,0,0,1300,12900,18300,22400,29500,35900,42500,50400,55200,61100,80300,102100,109900,121400,139400,182800,246200,500600,1425100,109515,99717,51139,77891,86971,74786,53778,36489,24052,16240,10818,7468,5042,3671,2640,1912,1387,1133,838,705,624,4517,1998,NA
"29",29,3,"LU","Total",187173,204.63,1093,242,0.805,44176,37800,0.44,33344.6875,29200,0.422173827886581,49476,42300,0.429,36391.81640625,32904.76171875,0.393023699522018,0,0,0,16100,20600,24400,31500,37800,44100,51500,56000,61800,80400,102000,110400,122400,144100,193100,269500,579700,2227800,31129,27853,17532,25072,29711,27448,19433,12746,8368,5499,3540,2405,1608,1166,765,642,475,372,315,284,213,1726,1998,NA
"30",30,4,"UR","Total",20186,14.157,701,190,0.769,38490,35700,0.427,28635.91015625,27100,0.41272696852684,44263,40400,0.41,32024.701171875,31118.0546875,0.373421370983124,0,0,0,11900,17100,21600,29400,35700,41800,48500,52300,57000,70700,86100,91700,99200,112300,142700,202700,391200,NA,4351,3733,1936,2590,3242,3040,2176,1350,805,451,272,161,94,79,43,33,29,12,19,12,6,103,1998,NA
"31",31,5,"SZ","Total",69044,105.831,1533,254,0.847,48621,38600,0.479,36192.30859375,29571.427734375,0.459429025650024,54379,43400,0.461,39536.1953125,33600,0.426638066768646,0,0,2200,14700,19700,24200,31900,38600,45400,53400,58300,64600,85900,113800,125900,144400,177300,258300,381100,1008300,NA,13774,10904,6522,8338,10147,9680,7200,4754,3188,2134,1461,987,657,500,359,271,230,212,157,118,117,1108,1998,NA
"32",32,6,"OW","Total",18708,17.866,955,171,0.832,40262,33700,0.46,30685.541015625,26066.666015625,0.442810446023941,45759,38100,0.445,33867.1015625,30000,0.409852892160416,0,0,3800,11200,15600,19800,27200,33700,39900,46900,51100,56200,73800,94800,102700,112800,132300,184300,257200,488900,NA,4220,3511,2133,2652,2940,2541,1727,1049,643,417,288,191,125,97,70,42,34,29,28,12,20,159,1998,NA
"33",33,7,"NW","Total",21148,39.566,1871,309,0.854,53446,41050,0.48,40562.5859375,31900,0.464150071144104,59090,45800,0.462,43887.32421875,35666.66796875,0.431381106376648,0,0,5200,18100,22800,27100,34300,41050,47800,55900,60800,67000,89200,122800,138200,157900,194000,308900,461200,1607700,NA,3649,2898,1741,2441,3136,3112,2350,1661,1058,671,464,300,205,176,117,109,98,67,56,51,31,406,1998,NA
