"","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit ID"
"452","12","BS","Total",90695,229.451,2530,499,0.818,71671,53000,0.402,56304.44921875,43500,0.373056918382645,77625,58600,0.39,60158.578125,47300,0.348485559225082,12900,20100,24300,33000,36400,39500,45900,53000,60900,70900,77400,85600,116300,157700,174700,199700,239700,337600,494500,1394100,NA,0,621,3754,10072,13475,13676,11840,9303,6812,4844,3477,2499,1879,1443,1038,828,751,544,427,395,304,2713,2006,NA
"453","13","BL","Total",129612,309.141,2385,625,0.771,74541,58400,0.363,54883.46875,45500,0.328696846961975,81958,65400,0.354,59379.31640625,49800,0.303169667720795,13500,22200,29100,37500,41000,44400,51100,58400,66800,77600,84400,93100,123100,161300,177000,199600,239900,326600,462100,1058700,3827200,0,956,3566,9561,16390,19152,17751,14616,11170,8423,6167,4575,3491,2538,1958,1517,1155,884,773,609,491,3869,2006,NA
"454","14","SH","Total",34842,49.882,1432,403,0.758,61412,50400,0.328,46104.95703125,39900,0.292659908533096,68177,56700,0.324,50278.9375,43900,0.268003910779953,16200,20800,25400,33000,35900,38800,44300,50400,57500,65700,71100,77800,100100,127300,137300,154000,181300,242700,325100,623900,NA,0,166,1273,3839,5909,5987,4897,3722,2577,1749,1212,895,532,440,309,217,163,132,107,97,64,555,2006,NA
"455","15","AR","Total",24091,39.721,1649,364,0.797,62465,49100,0.357,46783.07421875,38600,0.326356172561646,69386,55500,0.352,50935.19921875,42800,0.299785077571869,8600,19700,24000,32200,35000,37800,43300,49100,55900,64700,70600,77500,101400,133600,147600,166000,200300,278500,385400,1e+06,NA,0,282,1001,2700,4171,4194,3311,2273,1732,1102,810,529,415,277,208,155,134,109,76,66,58,488,2006,NA
"456","16","AI","Total",6977,13.219,1895,322,0.837,62645,47000,0.388,46934.25390625,36500,0.364942193031311,70243,54200,0.381,51329.8125,41200,0.332552284002304,7900,18800,22300,30200,33400,36000,41300,47000,53900,62600,67800,74300,98100,132100,147700,174300,227500,335000,497500,NA,NA,0,87,384,906,1234,1184,912,647,459,315,193,127,94,79,43,41,34,22,12,17,12,175,2006,NA
"457","17","SG","Total",209510,296.581,1416,348,0.779,59803,48400,0.34,44744.8828125,37900,0.311009466648102,67112,55300,0.336,49108.92578125,42200,0.282430082559586,8100,19800,23900,31900,34700,37400,42800,48400,55000,63400,68500,74850,97300,124500,135700,152500,180400,244800,336100,726200,2795100,0,2538,8372,24444,37437,37283,28625,21001,14415,9426,6609,4580,3175,2213,1631,1180,957,761,629,526,424,3284,2006,NA
"458","18","GR","Total",97114,137.607,1417,340,0.784,55685,45900,0.4,41965.3203125,36100,0.37484672665596,62543,51600,0.388,46093.17578125,40500,0.344194918870926,1300,4800,10900,24600,29500,33100,39400,45900,53000,61700,67300,74000,95800,123400,135600,153600,183700,250600,338200,736200,NA,0,9243,5276,10379,14739,14653,11909,8639,6426,4295,2946,2001,1371,943,682,529,463,324,248,240,185,1623,2006,NA
"459","19","AG","Total",273508,450.048,1645,496,0.741,66113,54100,0.326,49165.609375,42300,0.292751610279083,73447,61000,0.322,53566.296875,46600,0.267771691083908,17300,22400,28100,35600,38700,41600,47600,54100,61700,71400,77400,85000,110000,140100,151400,167700,194000,253600,336500,681300,1651100,0,755,7430,24387,41557,45248,38849,29662,22174,16030,11696,8241,6006,4490,3202,2434,1991,1435,1227,897,700,5097,2006,NA
"460","20","TG","Total",108940,152.165,1397,367,0.764,60583,49400,0.333,44659.30078125,38000,0.30720916390419,68025,56300,0.331,48975.6328125,42333.33203125,0.280493378639221,8700,20400,24700,32500,35400,38200,43600,49400,56300,65000,70700,77400,1e+05,127200,137900,154200,179400,235700,315000,634500,2242900,0,1209,3789,12431,18718,19265,14923,10711,7905,5369,3716,2706,1812,1287,908,675,558,436,359,264,197,1702,2006,NA
"461","21","TI","Total",154563,302.439,1957,369,0.818,62714,47600,0.406,46939.54296875,37400,0.374391496181488,68880,53500,0.398,50743.390625,41555.5546875,0.350801467895508,2700,12700,20100,28900,32200,35200,41300,47600,54900,64200,70100,77600,105700,146900,163000,188600,233000,338300,477100,1007300,3099900,0,6713,8285,18100,25279,24112,19096,14120,9883,6746,4756,3299,2450,1809,1402,1110,826,866,629,506,449,4127,2006,NA
"462","22","VD","Total",293732,778.834,2652,508,0.81,73615,53600,0.411,53830.80859375,42000,0.371126651763916,76394,56400,0.41,55212.0078125,43300,0.361105978488922,6600,19200,23900,32700,36000,39300,46000,53600,62600,74200,81800,91700,127400,176400,196500,224400,271900,377000,516400,1092700,5147900,0,4909,12000,30394,43716,42371,34791,27785,21089,15667,11733,8982,6777,5386,4139,3260,2744,2124,1760,1540,1236,11329,2006,NA
"463","23","VS","Total",150915,188.087,1246,303,0.779,53219,44800,0.395,39730.40625,34333.33203125,0.369193613529205,59679,50600,0.397,43540.51171875,39000,0.348238468170166,1800,3900,8000,24200,28700,32300,38600,44800,51500,59700,64700,70800,90400,115600,125300,140000,165200,222300,3e+05,647600,2843300,0,16396,6442,17357,23529,23498,18823,13777,9520,6230,3988,2717,1810,1357,933,708,619,372,350,316,238,1935,2006,NA
"464","24","NE","Total",76264,116.215,1524,403,0.765,62617,50600,0.34,46554.98046875,39533.33203125,0.301096618175507,69970,56800,0.34,50955.30078125,44200,0.279011428356171,16900,20800,24600,32300,35300,38200,44200,50600,58100,67600,73500,80900,104600,134000,144500,160500,187800,248900,344000,700700,NA,0,275,2858,9392,12652,12275,9932,7599,5621,4036,2940,2017,1500,1017,786,610,440,341,272,224,197,1280,2006,NA
"465","25","GE","Total",189025,707.468,3743,617,0.835,84432,57500,0.454,62111.66796875,45100,0.412998288869858,91170,63800,0.443,66166.296875,49500,0.390972942113876,12600,20000,24600,33300,37200,41100,49000,57500,67200,79800,88000,98800,140200,198600,224800,263000,331100,481100,683100,1823300,11583200,0,1385,7848,20652,23795,23986,21723,18575,14497,11200,8357,6265,4834,3876,3060,2427,2068,1626,1433,1140,948,9330,2006,NA
"466","26","JU","Total",30891,31.001,1004,290,0.739,55030,46500,0.312,40492.34765625,35555.5546875,0.275605261325836,62821,53300,0.314,45120.5703125,40333.33203125,0.248212888836861,10700,19700,23200,30500,33100,35700,40800,46500,53000,61000,65900,71700,90900,111600,119100,130400,149300,187000,253600,488900,NA,0,291,1368,4223,6015,5266,4088,3005,2091,1351,935,630,417,273,186,141,112,95,55,51,38,260,2006,NA
"467","1","ZH","Total",650447,2007.494,3086,617,0.81,79464,57500,0.409,60777.73828125,46533.33203125,0.375896096229553,85773,63400,0.399,64709.33203125,50307.69140625,0.353175967931747,16900,21700,27300,35800,39500,42800,49900,57500,66300,77900,85600,95700,132000,182500,202900,233700,287500,419500,613800,1435700,5632900,0,2447,19174,58875,85741,94025,83811,68896,51601,38312,28884,21962,16284,13135,9901,7913,6391,5031,4474,3712,3012,26866,2007,NA
"468","2","BE","Total",446952,653.569,1462,403,0.757,62133,50300,0.327,47631.859375,40615.3828125,0.296756595373154,68747,56600,0.324,51704.2421875,44600,0.27275162935257,17300,21700,26500,33600,36300,39100,44500,50300,57400,66400,72100,79100,102200,129700,140000,154700,179400,237700,318800,664800,2521200,0,931,13572,47957,78810,78659,61773,45300,32747,23112,16301,11606,8169,5797,4270,3270,2485,1859,1471,1181,942,6740,2007,NA
"469","3","LU","Total",168555,278.569,1653,406,0.783,63347,50200,0.347,47752.99609375,40000,0.319137662649155,70434,56800,0.344,51974.4375,44133.33203125,0.292563408613205,12300,20600,25300,33400,36300,39100,44400,50200,57100,65900,71600,78700,102800,133100,145200,162100,192000,265800,376800,882700,3099800,0,1370,5887,17946,28000,30288,23590,17123,11892,8352,5858,4188,2958,2113,1589,1226,937,778,580,428,361,3091,2007,NA
"470","4","UR","Total",15828,15.686,991,342,0.715,55649,48300,0.292,41758.71484375,37700,0.266156315803528,62660,54900,0.294,45926.08203125,41809.5234375,0.239263847470284,10900,20200,25100,32600,35400,38100,43200,48300,54100,61100,65600,70800,87800,107000,114400,123300,138500,177300,246400,456500,NA,0,144,603,1725,2820,3076,2471,1684,1198,663,440,279,190,155,70,54,50,34,25,23,9,115,2007,NA
"471","5","SZ","Total",66234,379.037,5723,515,0.898,100343,54400,0.544,75872.4296875,43266.66796875,0.525942921638489,106971,61400,0.526,79849.0234375,47133.33203125,0.498362720012665,16900,21400,26600,35000,38100,41300,47400,54400,63100,74400,82300,93300,137500,221400,260700,325800,444800,775000,1358300,5097700,NA,0,369,2049,6352,9701,10509,8608,6487,4678,3340,2555,1837,1445,1073,800,663,517,412,399,307,285,3848,2007,NA
"472","6","OW","Total",16283,31.993,1965,376,0.832,63573,48200,0.398,48191.65234375,38000,0.37433648109436,70437,54200,0.393,52288.4765625,42277.77734375,0.348190158605576,3800,17700,22300,30900,34100,37100,42500,48200,54600,62800,68200,74900,98100,127300,139100,159000,193700,275500,385200,1181300,NA,0,508,719,1816,2695,2837,2333,1568,1071,702,488,329,279,173,126,80,82,47,54,38,27,311,2007,NA
"473","7","NW","Total",20277,75.83,3740,528,0.863,83384,54500,0.463,63872.1484375,43800,0.44197142124176,90082,61200,0.449,67935.1953125,47733.33203125,0.414764791727066,10600,20700,26100,34800,38100,41400,47800,54500,62800,73400,80500,89500,124500,172600,195400,237800,311000,485200,809000,2500000,NA,0,188,669,1865,2930,3156,2701,2095,1513,1155,788,597,428,320,266,219,192,158,85,95,75,782,2007,NA
"474","8","GL","Total",18305,21.979,1201,324,0.762,57038,47300,0.326,43324.109375,37100,0.296123027801514,63992,53200,0.326,47542.80859375,41600,0.270639717578888,9400,19500,23700,30800,33700,36200,41600,47300,53700,61700,66700,72800,92100,115100,124000,138600,163700,224000,308700,693200,NA,0,192,807,2370,3315,3239,2499,1829,1243,838,575,362,232,155,108,93,62,54,35,43,21,233,2007,NA
"475","9","ZG","Total",53425,338.342,6333,781,0.863,109810,63400,0.522,82097.453125,50095.23828125,0.495546936988831,116370,70100,0.506,86068.5390625,54095.23828125,0.472257852554321,17000,22900,29600,38800,42900,46600,54500,63400,74000,89000,99100,112300,165500,252400,289700,350000,459700,750200,1271900,4200000,NA,0,256,1321,3957,5886,6892,6413,5461,4171,3315,2618,2051,1621,1328,1032,773,656,574,484,403,352,3861,2007,NA
"476","10","FR","Total",116348,177.564,1526,418,0.761,63073,51400,0.338,46060.6875,39300,0.306237101554871,71247,58900,0.337,50814.42578125,44200,0.279180526733398,8600,20300,24900,33200,36400,39300,45100,51400,58800,68100,73900,80900,104700,132700,143700,158400,183800,243500,328600,641900,2159000,0,1312,4110,12390,18406,19402,15747,12083,8913,6342,4391,3213,2208,1657,1154,877,754,522,415,299,287,1866,2007,NA
"477","11","SO","Total",121903,181.988,1493,446,0.746,63160,52000,0.327,47837.79296875,41400,0.294287115335464,70174,58200,0.325,52151.921875,45666.66796875,0.270229488611221,13600,21000,26100,34100,37200,40100,45800,52000,59100,68300,74000,81000,103800,130700,141000,155600,180800,238200,313900,633100,2572300,0,880,3890,12310,19121,20894,17284,12864,9439,6803,4836,3307,2367,1709,1217,911,681,522,401,346,263,1858,2007,NA
"478","12","BS","Total",91709,254.054,2770,523,0.824,74127,53600,0.414,58433.3125,44461.5390625,0.38415053486824,79993,59200,0.403,62246.2421875,48133.33203125,0.360196977853775,12600,20100,24400,33200,36600,39900,46400,53600,61900,72100,78800,87700,119600,162700,179900,205600,246900,354400,526500,1481000,NA,0,626,3838,10106,12977,13734,11687,9648,6823,4937,3577,2602,2044,1523,1073,956,783,610,499,390,369,2907,2007,NA
"479","13","BL","Total",131070,328.34,2505,653,0.771,76080,59400,0.365,56442.21484375,46600,0.330227792263031,83285,66100,0.357,60845.07421875,50866.66796875,0.305890917778015,13400,22600,29500,38150,41700,45100,52000,59400,67900,78800,85800,94600,125300,165600,181700,205500,245500,336800,480800,1105400,4454000,0,964,3275,9469,15747,19137,17849,14958,11488,8703,6450,4734,3607,2741,1998,1582,1234,993,791,622,526,4202,2007,NA
"480","14","SH","Total",35348,57.537,1628,424,0.775,63629,51100,0.343,48023.0546875,40700,0.306415975093842,70104,57000,0.337,52075.30078125,44666.66796875,0.282481580972672,15200,20900,25500,33300,36400,39400,45000,51100,58200,66800,72500,79400,102400,130400,142600,160300,187400,251200,333400,700900,NA,0,172,1280,3818,5667,6058,4985,3779,2656,1850,1271,909,659,455,308,239,174,167,122,105,78,596,2007,NA
"481","15","AR","Total",24580,42.381,1724,390,0.794,63632,50000,0.36,47840.53515625,39466.66796875,0.329525411128998,70433,56250,0.355,51938.140625,43500,0.30409961938858,7400,20000,24400,32300,35300,38300,44000,50000,57100,66250,72000,79400,104000,137150,149200,168000,203500,285700,397100,1e+06,NA,0,322,885,2836,4047,4173,3342,2458,1696,1241,846,599,422,307,244,198,126,115,82,64,60,517,2007,NA
"482","16","AI","Total",7067,16.159,2287,376,0.848,67421,49100,0.406,50109.8359375,38400,0.37598130106926,74861,56100,0.398,54438.74609375,42523.80859375,0.344974368810654,9800,19700,23600,31600,34800,37800,43400,49100,56300,64900,70300,76900,100500,139000,152300,182500,246700,359700,497500,NA,NA,0,72,304,853,1178,1210,955,707,508,334,225,138,110,72,55,54,32,27,15,15,9,194,2007,NA
"483","17","SG","Total",214236,330.027,1540,372,0.785,61391,49300,0.347,45999.0625,38666.66796875,0.318229824304581,68665,56000,0.343,50352.57421875,42933.33203125,0.289844185113907,7800,19800,24200,32200,35200,37900,43500,49300,56100,64500,69900,76600,99200,127800,139800,157100,185700,257900,353700,819100,3283000,0,2757,8251,24333,36682,37462,29710,21529,15083,10378,7061,4892,3397,2460,1708,1386,976,832,717,545,365,3712,2007,NA
"484","18","GR","Total",100773,151.759,1506,351,0.792,56482,46100,0.411,42945.515625,36500,0.386270076036453,62991,51600,0.396,46918.40234375,40833.33203125,0.355875670909882,1400,5100,12100,23600,28300,32200,39300,46100,53600,62700,68300,75100,97900,126000,138000,156300,188300,256100,364300,8e+05,2869700,0,9094,7411,10775,14029,14433,11975,9135,6706,4510,3156,2225,1573,1081,757,568,445,384,305,227,196,1788,2007,NA
"485","19","AG","Total",279547,493.49,1765,523,0.745,67716,55100,0.331,50351.765625,43200,0.296675711870193,75006,61900,0.327,54738.30078125,47400,0.272102981805801,17300,22700,28500,36100,39300,42300,48400,55100,62800,72800,79000,86800,112400,143200,155000,171800,2e+05,261300,351200,707000,2402400,0,785,7260,24039,40724,45705,39401,30492,23027,16971,12375,8961,6439,4727,3625,2606,2131,1594,1246,1010,775,5654,2007,NA
"486","20","TG","Total",112186,173.741,1549,398,0.773,62431,50400,0.343,46102.484375,38800,0.315802425146103,69723,57100,0.341,50341.88671875,43100,0.290063261985779,9100,20200,24700,32700,35800,38700,44400,50400,57500,66500,72100,79200,102500,131100,142700,160500,189100,252400,341500,718900,3187000,0,1224,4079,12529,18328,19163,15433,11334,8218,5790,4006,2858,2014,1445,1036,762,562,489,385,314,232,1985,2007,NA
"487","21","TI","Total",158441,331.853,2094,374,0.825,64146,47900,0.416,47879.46484375,37600,0.382530689239502,70358,53800,0.406,51717.7890625,41800,0.358743160963058,2500,12600,20100,28900,32200,35300,41400,47900,55400,64900,71000,78800,108200,151700,169200,195400,243200,350000,499800,1125800,3259400,0,6892,8479,18563,25654,24250,19361,14374,10215,6987,4896,3482,2528,1954,1525,1172,938,880,715,561,434,4581,2007,NA
"488","22","VD","Total",298136,839.833,2817,542,0.809,75596,54800,0.416,55017.26953125,42809.5234375,0.374058425426483,82922,61700,0.405,59423.2265625,47333.33203125,0.348927050828934,6600,19200,24000,33100,36500,40000,47000,54800,64100,76100,84000,94200,131200,182800,204300,234700,286200,396800,540700,1171900,5180400,0,5070,11974,29980,42243,41864,35319,28281,21555,16561,12492,9385,7147,5806,4437,3491,2961,2288,1918,1500,1328,12536,2007,NA
"489","23","VS","Total",153751,207.437,1349,319,0.785,54573,45400,0.401,40757.29296875,35100,0.3741554915905,60981,51200,0.402,44549.4921875,39733.33203125,0.353416621685028,1800,4000,8000,24500,29000,32600,39200,45400,52300,60900,66000,72100,92800,119200,129100,145400,171200,232600,316000,755600,3831700,0,16634,6587,17069,23150,23723,19017,14202,9971,6605,4352,2862,2018,1518,988,753,694,460,386,368,221,2173,2007,NA
"490","24","NE","Total",77637,124.227,1600,427,0.764,63648,51300,0.344,47456.80078125,40200,0.304850906133652,70904,57400,0.344,51804.44140625,44866.66796875,0.283696591854095,15600,20600,24800,32400,35600,38500,44600,51300,59000,68700,75000,82400,106900,136600,147600,162700,192600,256700,347500,789800,NA,0,411,2891,9297,12554,12225,10084,7696,5789,4156,3138,2205,1631,1091,849,649,513,381,278,205,170,1424,2007,NA
"491","25","GE","Total",191578,833.537,4351,649,0.846,90104,58600,0.477,65901.4296875,46000,0.435493886470795,96822,64900,0.466,69949.265625,50400,0.413666963577271,12400,20000,24800,33500,37500,41500,49900,58600,68700,82000,90900,102300,146900,212700,241500,286100,364400,537300,801900,2300000,13904900,0,1419,7507,20909,23639,23271,21597,18585,14435,11344,8740,6665,5107,4070,3265,2607,2161,1778,1452,1286,1039,10702,2007,NA
"492","26","JU","Total",31860,33.201,1042,302,0.739,55678,46800,0.315,41062.1875,36000,0.276485472917557,63258,53400,0.319,45540.1171875,40800,0.252919793128967,10400,19800,23500,30400,33300,36000,41100,46800,53500,61700,66600,73000,91900,113400,121200,133300,153200,198300,263800,512500,NA,0,305,1334,4517,5865,5435,4214,3083,2153,1564,945,672,452,277,224,148,101,88,74,58,40,311,2007,NA
"493","1","ZH","Total",660723,2080.24,3148,629,0.809,80159,57900,0.409,61739.7890625,47200,0.377484858036041,88023,65100,0.399,66587.84375,51900,0.351604044437408,17000,21900,27600,36200,40000,43300,50200,57900,66700,78300,86100,96300,133600,186000,207100,239100,295100,425600,619000,1453300,5053700,0,2293,19015,58312,85435,95140,86368,70689,52760,39040,29005,22484,16823,13143,10321,8005,6693,5322,4463,3686,3255,28471,2008,NA
"494","2","BE","Total",450257,653.504,1451,404,0.757,61893,50400,0.324,47940.70703125,40900,0.298536479473114,69990,57700,0.324,52909.47265625,45600,0.272135108709335,17400,21900,26800,33800,36600,39200,44700,50400,57100,65800,71300,78200,101100,128700,138900,153900,179000,236900,320200,669600,2555900,0,941,13099,46963,79754,80636,64467,46393,32601,22862,16038,11110,7851,5644,4258,3131,2315,1904,1421,1116,893,6860,2008,NA
"495","3","LU","Total",171353,286.529,1672,415,0.782,63605,50700,0.345,48336.51171875,40400,0.320043563842773,72270,58200,0.344,53486.83984375,45466.66796875,0.290350288152695,14300,21000,25700,33600,36600,39400,44900,50700,57300,65800,71300,78400,102900,134000,146000,163600,193700,270300,379000,829000,2631300,0,1194,5681,17873,28351,30628,24994,17727,12221,8267,5915,4090,2952,2176,1590,1275,957,781,607,476,398,3200,2008,NA
"496","4","UR","Total",15878,14.811,933,344,0.697,55081,48400,0.282,41796.36328125,37933.33203125,0.262934595346451,63634,56200,0.288,46883.71875,42900,0.233262613415718,10500,20400,25500,33100,35900,38500,43400,48400,53700,60600,64700,69900,86400,106500,112800,122600,138400,178900,247500,435300,NA,0,144,564,1642,2875,3208,2535,1735,1122,692,382,272,184,135,78,45,44,41,23,20,14,123,2008,NA
"497","5","SZ","Total",67910,400.926,5904,526,0.896,101877,54700,0.546,78083.421875,43900,0.532290101051331,110076,63200,0.526,83004.7265625,48688.2578125,0.500610291957855,16700,21500,27000,35100,38400,41500,47800,54700,63300,75200,83200,94300,142850,233300,275800,347900,484400,795600,1357700,4506900,NA,0,393,2003,6315,9953,10738,8923,6520,4831,3413,2543,1911,1413,1109,824,709,611,453,404,370,287,4187,2008,NA
"498","6","OW","Total",16599,32.121,1935,380,0.826,63173,48400,0.391,48701.04296875,38466.66796875,0.374761372804642,71555,55600,0.387,53715.54296875,43555.5546875,0.34438693523407,3700,17700,22600,31300,34500,37400,42800,48400,54600,62200,67700,74100,98100,129700,141000,163700,203600,305300,497200,1141600,NA,0,522,688,1757,2760,3027,2399,1633,1061,693,466,340,242,184,148,77,80,52,44,43,45,338,2008,NA
"499","7","NW","Total",20527,77.852,3793,541,0.861,83929,54800,0.464,64532.56640625,44222.22265625,0.442835241556168,92085,62600,0.449,69487.40625,49100,0.412501066923141,10000,20700,26600,35000,38300,41700,48100,54800,62800,73500,80600,89900,126300,179600,201400,241800,313200,491600,794100,2858800,NA,0,202,682,1806,2920,3179,2842,2121,1558,1114,777,621,421,362,264,204,186,122,124,113,66,843,2008,NA
"500","8","GL","Total",18407,22.326,1213,332,0.763,57231,47700,0.323,43888.29296875,37800,0.298490732908249,65804,54700,0.326,49069.14453125,43000,0.269704908132553,11800,19900,24200,31300,34200,36800,42200,47700,53500,61300,65900,71600,91500,116000,125400,140000,166900,223100,309000,643500,NA,0,157,770,2322,3306,3416,2607,1890,1229,781,512,351,246,148,119,76,75,52,42,38,32,238,2008,NA
"501","9","ZG","Total",54120,363.821,6722,795,0.868,113336,63700,0.533,83907.4609375,50500,0.50126725435257,121501,72100,0.515,88831.140625,55466.66796875,0.47424840927124,16900,23050,30000,39400,43300,47100,54800,63700,74500,89100,99700,112800,167600,257450,295400,355100,469700,763600,1259000,4862500,NA,0,252,1339,3796,5792,7158,6511,5484,4427,3357,2520,2114,1622,1306,1010,851,697,605,445,399,345,4090,2008,NA
"502","10","FR","Total",118451,176.069,1486,408,0.761,62337,51100,0.335,45972.80859375,39190.4765625,0.30780878663063,72279,59900,0.337,51744.7109375,45200,0.277643084526062,7900,20300,25000,33200,36300,39200,44900,51100,58000,66900,72400,79400,102800,130900,141800,157200,182400,242200,325000,641100,2329100,0,1407,4084,12408,19189,20016,16770,12422,8897,6138,4284,3014,2146,1636,1126,857,673,539,399,315,257,1874,2008,NA
"503","11","SO","Total",123128,186.202,1512,442,0.753,63075,51800,0.327,48228.421875,41466.66796875,0.299122095108032,72515,60000,0.327,54114.41796875,47300,0.27114263176918,13800,21300,26300,34300,37400,40300,46000,51800,58800,67500,72900,79600,102100,129700,139900,155400,181200,240800,320700,682400,3174700,0,890,3743,12250,19331,21694,17834,13380,9672,6679,4576,3153,2240,1567,1194,859,650,504,405,334,261,1912,2008,NA
"504","12","BS","Total",93147,268.111,2878,511,0.833,74628,53100,0.424,59188.6484375,44266.66796875,0.395369529724121,81690,59600,0.412,63719.75390625,48700,0.368608862161636,12600,19900,24000,32700,36300,39500,46000,53100,61200,71300,78100,86800,119900,164400,182200,208000,251500,358400,527800,1489300,NA,0,639,4035,10493,13384,13947,11964,9692,6793,4880,3515,2595,1903,1551,1164,925,727,610,507,427,341,3055,2008,NA
"505","13","BL","Total",132105,329.8,2496,643,0.774,75709,59000,0.365,56284.234375,46333.33203125,0.333378851413727,84645,67200,0.357,61705.484375,51533.33203125,0.305500477552414,14100,22700,29700,38200,41700,45100,51800,59000,67200,77700,84500,93200,124200,165300,180700,205500,245800,344800,474800,1114000,4748000,0,915,3238,9424,16153,19431,18645,15357,11696,8561,6285,4563,3450,2550,1946,1516,1192,1031,818,591,528,4215,2008,NA
"506","14","SH","Total",35639,54.974,1543,422,0.764,62699,51000,0.333,47852.8203125,41000,0.30056020617485,70830,58300,0.331,52911.4765625,45900,0.274449646472931,16900,21100,25900,33500,36600,39500,45100,51000,57900,66300,71800,78700,101500,130300,142300,159700,190000,263600,351400,668000,NA,0,156,1225,3796,5781,6224,5172,3862,2587,1843,1253,887,638,417,322,211,199,143,117,93,81,632,2008,NA
"507","15","AR","Total",24599,46.272,1881,388,0.813,64643,50100,0.372,49080.53125,39533.33203125,0.344878822565079,73054,57500,0.367,54151.1171875,44600,0.315885126590729,8500,20000,24400,32400,35400,38400,44100,50100,56700,65100,70600,77700,102700,137600,151600,172700,211100,299400,425400,1238000,NA,0,286,923,2792,4054,4182,3570,2505,1704,1151,812,534,379,299,223,180,124,119,80,62,73,547,2008,NA
"508","16","AI","Total",7160,15.236,2128,367,0.835,65931,48800,0.393,50301.60546875,38500,0.377305239439011,75068,57550,0.385,55597.36328125,43800,0.34099930524826,9500,19700,23900,31700,34850,37700,43100,48800,55900,64600,70300,77100,102550,142350,158600,190000,238400,356500,572200,NA,NA,0,74,310,843,1220,1260,945,705,499,323,210,166,102,70,65,43,44,25,17,24,21,194,2008,NA
"509","17","SG","Total",216546,339.293,1567,372,0.788,61533,49300,0.348,46522.8203125,38933.33203125,0.321609556674957,70358,57200,0.345,51797.5390625,44133.33203125,0.290376484394073,7600,20000,24500,32400,35400,38200,43600,49300,55900,64000,69300,75900,99100,128900,140600,158800,190000,261200,360600,829800,3020400,0,2766,8034,24147,37091,38543,30857,22091,15055,9908,6878,4770,3388,2416,1816,1350,1038,844,663,549,510,3832,2008,NA
"510","18","GR","Total",96851,155.525,1606,394,0.784,58966,48100,0.392,45096.9609375,38100,0.371011823415756,67204,54700,0.377,50097.69140625,43208.33203125,0.335838347673416,2500,6700,17200,27700,31800,35200,41600,48100,55000,63800,69200,76100,99200,129300,142700,162000,197900,274500,385600,808000,NA,0,7005,5101,9639,14433,15016,12663,9342,6601,4432,3122,2214,1505,985,736,588,468,368,290,243,193,1907,2008,NA
"511","19","AG","Total",283854,496.655,1750,519,0.745,67392,54900,0.328,50583.58984375,43333.33203125,0.298732697963715,76299,63100,0.326,55935.2109375,48476.19140625,0.271319419145584,17400,22900,28900,36300,39500,42500,48400,54900,62300,71900,78000,85500,111500,143300,155000,172100,2e+05,265000,354100,668900,2230200,0,766,7126,23696,41362,47463,41263,31828,23205,16801,11932,8809,6304,4556,3500,2636,2112,1640,1245,1048,781,5781,2008,NA
"512","20","TG","Total",113816,181.348,1593,404,0.777,62836,50500,0.344,47147.25390625,39600,0.316284477710724,71727,58300,0.344,52408.81640625,44900,0.288349688053131,9400,20400,25200,33100,36100,39000,44600,50500,57400,66100,71700,78700,102500,133000,145000,162400,193000,259000,345700,745400,3795800,0,1210,3929,12410,18509,19779,16080,11791,8212,5744,3929,2759,1987,1419,1082,782,651,462,397,314,281,2089,2008,NA
"513","21","TI","Total",158763,347.745,2190,370,0.832,64930,47900,0.421,48846.70703125,37800,0.390066385269165,72717,55100,0.411,53624.7734375,42933.33203125,0.361334234476089,2600,13100,20300,29200,32300,35400,41500,47900,55100,64600,70700,78400,108900,155600,173000,202000,252800,363800,515700,1176000,3305400,0,6811,8251,18431,26018,24519,19883,14285,10117,6785,4680,3384,2526,1858,1562,1157,970,771,827,580,439,4909,2008,NA
"514","22","VD","Total",303063,892.468,2945,547,0.814,76638,55000,0.419,56342.53515625,43200,0.382187128067017,85793,63300,0.408,61816.65234375,48761.90625,0.352292239665985,6900,19500,24500,33500,37000,40400,47300,55000,63900,75800,83700,94000,132200,186600,209900,241900,296700,418100,575100,1196200,4538300,0,4851,11482,29677,42910,43100,37239,29356,21876,16533,12416,9375,7180,5664,4447,3530,2871,2369,1935,1597,1340,13315,2008,NA
"515","23","VS","Total",155344,209.387,1348,316,0.787,54359,45300,0.4,41025.421875,35095.23828125,0.377117872238159,62338,52100,0.4,45749.6640625,40666.66796875,0.351319253444672,1800,4000,8300,24800,29400,32800,39100,45300,52000,60100,65100,71200,91900,119100,130200,148300,178300,240600,328700,702100,3161100,0,16603,6621,16825,24278,24384,19747,14375,9733,6273,4131,2816,1929,1372,962,743,689,442,369,398,273,2381,2008,NA
