"","ktnr","ktname","Einheit","stpf","snpstbetr","mean_stbetr","median_stbetr","gini_stbetr","mean_steink","median_steink","gini_steink","mean_steinka","median_steinka","gini_steinka","mean_reink","median_reink","gini_reink","mean_reinka","median_reinka","gini_reinka","p1","p5","p10","p20","p25","p30","p40","p50","p60","p70","p75","p80","p90","p95","p96","p97","p98","p99","p99_5","p99_9","p99_99","stpfo","stpf_100","stpf_200","stpf_300","stpf_400","stpf_500","stpf_600","stpf_700","stpf_800","stpf_900","stpf_1000","stpf_1100","stpf_1200","stpf_1300","stpf_1400","stpf_1500","stpf_1600","stpf_1700","stpf_1800","stpf_1900","stpf_2000","stpf_u2000","year","Einheit ID"
"25","25","GE","Total",109247,126.493,1158,149,0.847,32458,21300,0.426,20957.861328125,14800,0.404064029455185,37007,26100,0.393,23655.2421875,17400,0.359069257974625,9900,11200,12500,14800,15900,16800,18900,21300,24200,28300,31100,35000,50600,75400,86500,102000,130200,194800,299100,907700,3976100,0,1202,47503,31143,12501,5712,3071,1890,1266,893,686,492,383,313,267,223,181,150,123,109,101,1038,1973,NA
"26","1","ZH","Total",431051,492.018,1141,226,0.815,34001,25200,0.396,22023.89453125,17047.619140625,0.375879466533661,38618,30100,0.372,24710.65234375,19800,0.338230967521667,0,11000,13000,16600,18200,19600,22400,25200,28500,32700,35500,39200,53200,74700,84100,99400,124900,187500,283900,708600,2221300,0,12453,121590,140840,73822,32883,16162,8892,5428,3583,2597,2042,1470,1255,938,769,665,586,471,389,345,3871,1975,NA
"27","2","BE","Total",346769,244.993,707,144,0.789,28529,22200,0.341,18492.890625,15000,0.324485927820206,33361,27400,0.316,21274.080078125,17733.333984375,0.282729268074036,9900,11200,12500,15100,16300,17500,19800,22200,25100,28900,31200,34300,45500,60600,66600,76400,93800,135700,190300,387600,1021500,0,3609,137661,109680,48021,19992,9920,5437,2969,1971,1347,1034,739,600,520,435,357,302,260,176,180,1559,1975,NA
"28","3","LU","Total",93972,65.933,702,130,0.813,27405,21200,0.356,17784.779296875,14476.1904296875,0.346684664487839,32022,26000,0.332,20339.412109375,17000,0.301290273666382,0,10800,12100,14700,15800,16900,19000,21200,23700,26900,29000,31800,41900,55800,61900,70400,86800,128900,186500,431100,NA,0,2318,39354,30583,11214,4363,2104,1182,644,434,289,233,166,158,114,108,86,64,53,48,43,414,1975,NA
"29","4","UR","Total",10405,9.248,889,121,0.868,28626,20500,0.38,18644.509765625,13900,0.378933966159821,33533,25900,0.352,21369.69921875,16500,0.326909273862839,10100,11200,12600,14800,15800,16800,18700,20500,22800,25600,27400,30000,37900,48400,52800,60000,74100,117600,171500,472800,NA,0,70,4802,3441,1223,391,165,84,42,33,26,15,13,16,6,9,5,9,6,4,3,42,1975,NA
"30","5","SZ","Total",29563,18.281,618,134,0.788,26698,21400,0.334,17442.052734375,14466.6669921875,0.328461468219757,31487,26400,0.314,20104.646484375,17000,0.283812403678894,0,10800,12200,14700,15900,17000,19200,21400,23800,27000,29000,31600,40600,53500,59300,66700,79600,116700,162100,411400,NA,0,693,12189,9840,3734,1345,612,350,212,117,80,60,51,43,38,27,19,15,16,14,7,101,1975,NA
"31","6","OW","Total",7237,5.141,710,118,0.832,26906,20100,0.353,17646.5234375,13900,0.351355403661728,31456,24700,0.328,20131.06640625,16200,0.302465915679932,10200,11000,12200,14400,15300,16300,18100,20100,22300,25300,27200,29600,40000,56100,62200,72200,83200,116500,180600,NA,NA,0,51,3519,2251,689,262,146,86,70,38,27,12,19,6,10,6,5,1,1,5,4,29,1975,NA
"32","7","NW","Total",8728,7.814,895,129,0.852,28840,20900,0.388,18861.525390625,14200,0.38211515545845,33334,25900,0.36,21352.41015625,16600,0.334591060876846,2400,10800,12100,14600,15700,16800,18800,20900,23400,26400,28400,30900,40700,56100,61900,71100,92900,148200,230000,NA,NA,0,173,3797,2852,995,362,165,109,59,31,20,24,17,17,13,8,9,6,7,3,3,58,1975,NA
"33","8","GL","Total",13820,8.643,625,135,0.791,27201,21800,0.329,17760.0234375,14523.8095703125,0.318089544773102,31859,26700,0.307,20434.462890625,17266.666015625,0.275340795516968,10000,11100,12400,14800,16000,17300,19500,21800,24400,27400,29300,31750,41000,53100,58100,66700,83900,122700,178600,425600,NA,0,130,5652,4776,1781,673,291,134,81,58,46,29,23,23,12,14,10,7,11,9,4,56,1975,NA
"34","9","ZG","Total",26715,23.608,884,190,0.794,31880,24400,0.353,20470.42578125,16500,0.333941072225571,36662,29500,0.333,23145.6484375,19100,0.296235531568527,10100,11800,13500,16700,18100,19400,21900,24400,27500,31600,34200,37700,50400,69200,77100,89000,110500,159900,226600,544200,NA,0,219,8427,9111,4289,1928,953,475,322,204,123,122,85,62,51,47,30,28,23,28,21,167,1975,NA
"35","10","FR","Total",55975,29.244,522,117,0.778,25432,20200,0.317,16460.607421875,13700,0.305605947971344,29803,25000,0.296,18878.478515625,16055.5556640625,0.260860830545425,9900,10900,12100,14300,15300,16300,18200,20200,22600,25700,27700,30300,39500,51600,56400,64300,77000,105700,155100,324800,NA,0,582,26778,17039,6131,2389,1122,551,367,232,156,96,84,55,59,43,29,35,19,22,20,166,1975,NA
"36","11","SO","Total",77597,55.645,717,155,0.787,28012,22500,0.358,17835.923828125,14800,0.341091066598892,32745,27700,0.337,20522.37109375,17500,0.302050530910492,0,10200,11800,14800,16200,17600,20000,22500,25300,28900,31200,34000,43800,57800,63600,71900,89100,132100,190400,427900,NA,0,3313,27459,25411,11431,4423,1997,1095,593,342,236,202,169,129,109,97,55,58,48,40,33,357,1975,NA
"37","12","BS","Total",102210,112.175,1097,217,0.816,33337,24800,0.396,22500.162109375,17533.333984375,0.371857553720474,37731,29200,0.37,25237.666015625,20333.333984375,0.335123717784882,0,10700,12500,15800,17400,18900,21800,24800,28300,32500,35100,38600,52250,73500,83100,97000,122400,182700,275100,692700,2144000,0,2597,31587,31561,17547,7589,3690,2030,1214,877,624,469,315,255,224,170,158,128,124,96,83,872,1975,NA
"38","13","BL","Total",80346,88.561,1102,273,0.78,35000,27000,0.36,21540.177734375,17066.666015625,0.33802205324173,40206,32700,0.334,24492.0234375,20000,0.300416052341461,10100,11900,14100,17800,19400,20900,23900,27000,30500,35000,38100,42000,56700,77000,86300,98900,120400,168800,235600,507200,NA,0,641,20848,25590,15284,7272,3634,2117,1217,796,581,421,325,224,199,169,124,118,99,64,71,552,1975,NA
"39","14","SH","Total",25878,19.712,762,205,0.76,30294,24500,0.328,19532.4765625,16200,0.315493851900101,35098,29600,0.308,22305.76953125,18933.333984375,0.27846759557724,9800,11600,13300,16600,18100,19400,21900,24500,27300,31100,33500,36600,47600,63000,69700,79200,97200,140200,194200,373300,NA,0,305,7993,9063,4402,1864,782,446,265,148,119,88,73,44,26,42,29,18,18,17,16,120,1975,NA
"40","15","AR","Total",17454,11.594,664,116,0.826,26764,20400,0.348,17435.76171875,14000,0.333007514476776,31509,25100,0.325,20115.6015625,16631.48046875,0.28701439499855,9800,11000,12100,14200,15300,16400,18300,20400,22800,26000,28000,30500,40800,55900,62900,72200,91800,131200,188100,516600,NA,0,205,8153,5440,1830,719,345,211,100,92,75,36,38,32,24,13,21,12,12,10,8,78,1975,NA
"41","16","AI","Total",3945,1.947,494,103,0.803,24146,18700,0.327,16257.8955078125,13523.8095703125,0.324171006679535,28830,23500,0.305,18833.07421875,15809.5234375,0.2728151679039,10000,10800,11500,13200,14000,14900,16800,18700,21000,23800,25800,28150,37900,50700,55600,63800,78100,112000,NA,NA,NA,0,29,2160,1100,314,139,65,36,24,15,14,6,7,2,4,3,3,1,3,1,1,18,1975,NA
"42","17","SG","Total",139177,89.824,645,130,0.801,27182,21400,0.331,17904.560546875,14714.2861328125,0.318677663803101,31868,26400,0.312,20540.734375,17277.77734375,0.275843173265457,9900,11200,12500,15000,16100,17200,19300,21400,23900,27100,29100,31600,41100,55000,61100,70700,87800,128800,191300,437000,1083400,0,1479,58355,47126,17167,6363,2881,1536,941,664,434,362,286,212,168,130,122,97,81,66,68,639,1975,NA
"43","18","GR","Total",58557,46.348,792,136,0.82,27383,20500,0.406,17756.03515625,13900,0.394533008337021,31957,25200,0.375,20308.81640625,16416.666015625,0.347284823656082,900,4700,10400,13100,14400,15700,18100,20500,23300,26800,29100,32100,43600,60000,67600,79100,99200,144300,2e+05,401200,NA,0,5043,22910,16877,6498,2896,1388,748,469,350,221,201,126,115,94,81,72,55,52,38,30,293,1975,NA
"44","19","AG","Total",152284,105.632,694,180,0.757,29290,23600,0.322,18646.732421875,15533.3330078125,0.305621773004532,34367,29000,0.301,21510.369140625,18333.333984375,0.265886604785919,10200,11500,13100,16000,17400,18600,21100,23600,26500,30300,32700,35700,46500,60600,66600,75600,90700,125200,177900,341200,959400,0,1036,52610,51675,24121,10185,4831,2396,1447,880,656,445,326,239,201,177,140,87,87,78,74,593,1975,NA
"45","20","TG","Total",68839,40.604,590,131,0.787,26620,21600,0.324,17078.39453125,14333.3330078125,0.318082541227341,31562,26600,0.304,19825.255859375,17100,0.274174928665161,0,11000,12400,14900,16100,17300,19500,21600,24100,27300,29300,31800,40600,53200,58400,66400,81500,118300,173800,365800,NA,0,1451,27715,23463,9057,3112,1445,729,452,252,205,154,139,82,58,63,57,46,31,21,32,275,1975,NA
"46","21","TI","Total",88548,70.857,800,124,0.828,26390,19600,0.426,17343.41015625,13200,0.418211400508881,30446,24100,0.396,19700.607421875,15666.6669921875,0.374709904193878,0,1500,9400,12400,13700,14900,17200,19600,22400,26000,28300,31500,44000,62900,70800,83400,105700,154400,228500,451900,NA,0,9454,36060,23287,9007,3892,2047,1182,784,515,382,282,247,181,149,134,116,66,78,66,72,547,1975,NA
