"Country","SCP","GIN","DCB","GOV","PCT","CCR","ABC","ABP","BSS","LPS","CSR","LBR","ATX","BEN","FDI","TRF","TFS","TRD","Telec_struc","Elec_struc","Gas_struc","Post_struc","Rail_struc","Hstat","LernerIndex","StateControl","Taxes","HealthGDP","EducGDP","MilitaryGDP","Finalcons","HealthGOV","EducGOV","MilitaryGOV","Int_rate","Inf_rate","Fin_reg","LLR","FinOpen","Liq","PrimAgri","PrimIndus","SecManuf","SecConst","Ter_Serv","Ter_FIRE","Tradeglobfacto","Finglobfacto","Tradeglobjure","Finglobjure","Socglobfacto","Socglobjure","Polglobfacto","Polglobjure","IUCN","GreenP","EnvConflicts","ClassGHG","EnvReg","EnvTreaties","EnfEnvReg","EnerGDP","GHGGdp","MatGDP","MatEmb","EnerEmb","CO2Emb","EnerfootGDP","CO2footGDP","MatfootGDP","Wshare","DistProf","Labprotec","CollBarg","Unions","Unemp","IncomeIneq","WorkingHours","Gender"
"Poland",5.65,4,3.3,4.5,1.81,1.72,2.4,1,4.34,2.67,0.06,0.2,0,2.69,0.43,0,0.55,0,1.16,0,6,1,0,0.66,0.45,3.06,15.6,4.4,4.81,2.14,18,10.67,11.58,5.15,1.74,-0.87,1597,0,0.7,1099,0.02,0.25,0.08,0.06,0.54,0.09,640,694,867,553,652,851,887,956,0.24,0.115,0.2,4.4,4.5,28,3.8,0.17,691,1.17,8.7,9.9,4.9,0.19,557.37,2.26,54,32.9,2.4,17.2,12.1,7.5,0.3,40,11.1
"Portugal",3,3.17,0.92,2.63,0.97,2.91,1.8,2,3.63,0,0.82,1.57,0,1.92,0.04,0,1.08,0.28,1.56,1.5,3,3,4.5,0.75,0.31,2.18,22.9,5.9,4.88,1.79,18.1,12.3,10.13,3.71,-0.02,0.49,1331,3.49,1,1213,0.03,0.06,0.18,0.07,0.58,0.18,594,871,924,703,710,831,882,964,0.48,0,1,4.8,5.3,29,4.7,0.097,301,0.68,24.5,23.5,25,0.13,297.08,1.66,59.3,28.8,2.7,72.3,16.3,12.4,0.3,39,18.9
"Russia",5.4,3.72,2.87,3.75,3.42,2.36,1.6,1.2,1.5,2.67,0,1.57,1.35,2.68,1.39,1.5,2.63,1.3,1.6538,2.808,4.2403,2.4681,5.8903,0.72,0.47,3.41,10.6,3.4,3.82,4.85,17.5,9.57,10.87,11.7321,14.76,15.53,127,0.55,0.72,3956,0.02,0.04,0.13,0.04,0.42,0.18,381,671,453,534,683,633,920,888,0.05,0.003,0.1,5,3.6,20,3.4,0.417,1599,1.42,-158.6,-16.5,-30.2,0.36,815.65,1.35,64,8.6,2.5,22.8,30.5,5.6,0.4,40,24.4
"Slovakia",2.4,3.47,1,3.75,1.34,2.01,1.6,0.8,3.86,0,0.91,0.4,0,2.31,0.29,0,0.4,1.5,1.97,0.75,3,2,1.5,0.74,0.3,2.17,17.6,5.5,4.65,1.13,19.4,12.05,10.28,2.48,-0.02,-0.33,1777,2.66,0.75,577,0.04,0.14,0.16,0.06,0.51,0.11,756,779,898,729,719,842,788,915,0.18,0.115,0,3.4,4.9,26,4.1,0.161,407,0.67,79.1,29.5,41.8,0.23,614.48,4.91,49.4,31.5,2.3,24.4,11.2,11.5,0.3,38,13.4
"Slovenia",3.72,5,1.59,0.75,1.08,3.4,2.2,0.4,3.31,4.67,0,0.9,0,2.47,0.04,0,1.63,1.5,1.61,1.5,3,5,3,0.78,0.17,2.5,18.5,6.1,4.91,0.93,18.6,12.66,11.22,2.13,-0.02,-0.53,1877,3.3,0.7,1179,0.04,0.04,0.2,0.08,0.53,0.11,846,796,877,507,720,897,753,902,0.48,0.115,4.8,2.9,5.4,27,4.8,0.134,344,0.56,47,6.8,13.1,0.16,366.91,1.85,70.4,17.3,2.4,67.5,25.1,9,0.3,39,5
"South Africa",3.59,4.2,0.89,4.88,3.13,2.58,1,0.4,3.34,4,1.53,1.43,0.9,4.12,0.33,1.5,2.3,1.22,2.35,3,6,4.5,6,0.86,0.23,3.12,27.3,4.4,5.96,1.1,20.5,14.06,18.7,3.34,6.05,4.51,142,1.3,0.17,2291,0.02,0.04,0.22,0.06,0.47,0.21,482,672,544,321,596,736,949,827,0.46,0.013,0.4,10.8,4.7,24,4.1,0.356,1222,1.52,-64.1,-25.6,-23.6,1.3,807.11,2.32,51.9,22.1,2,29.1,27.4,25.2,0.6,43,23
"South Korea",2.1,2.37,0.91,5.25,3.09,1.47,1.8,0.8,3.01,4,0,1.21,0.53,3.47,0.86,2.5,0.27,1.57,1.5,4.5,6,2,6,0.57,0.34,2.47,13.9,4.2,5.25,2.64,15,12.86,16.16,12.64,1.77,0.71,1418,1.37,0.72,126,0.02,0.12,0.13,0.04,0.46,0.14,606,526,645,671,756,818,912,890,0.65,0.005,0.2,6.5,4.5,24,4.2,0.218,560,0.63,48.7,-9.1,0.1,0.18,487.03,1.68,67.3,16.8,2.2,11.8,10.1,3.6,0.3,44,37.2
"Spain",3.5,1.73,1.32,0.75,0.63,3.15,1.6,1.4,4.01,4.67,0.99,1.3,0,2.14,0.13,0,0.33,1,1.68,0,1.5,2,3,0.41,0.53,1.86,14.4,6.5,4.28,1.27,19.3,14.88,9.77,2.91,-0.02,-0.5,1466,5.61,1,2226,0.02,0.04,0.13,0.05,0.59,0.16,532,850,898,658,721,838,967,993,0.84,0.215,1.6,4.6,4.8,29,4.7,0,237,0.29,38.5,20.2,27.6,0.11,255.71,1.5,60.7,24.4,2.4,76.9,13.9,22.1,0.3,36,11.5
"Sweden",3.8,2.99,1.76,5.25,0.38,1.63,1.4,1,1.94,4.67,0.87,0.8,0,1.95,0.35,0,0.34,1.8,1.65,0,3,4.5,3,0.41,0.45,2.22,27,9.2,7.55,1.08,25.9,18.36,15.5,2.21,-0.29,-0.05,2422,2.12,1,3158,0.01,0.03,0.15,0.06,0.59,0.13,680,920,897,756,837,877,953,990,1.13,0.617,1.5,3.3,6.2,30,6.1,0.092,99,0.4,40,13.2,51.7,0.1,161.94,0.76,62.7,8.6,2.5,90,67,7.4,0.3,35,13.4
"Switzerland",3.6,4.28,1.96,5.25,1.63,1.54,1.4,0.4,1.87,3.33,0.38,1.57,0,3.23,0.5,0,0.23,0.32,1.67,0,3,3,3,0.52,0.42,2.68,9.8,8.5,5.1,0.67,11.9,25.16,15.53,2.02,-0.78,-1.14,1704,0.29,1,6132,0.01,0.02,0.19,0.05,0.62,0.11,779,970,817,787,912,879,928,986,2.32,1.954,0.2,4.2,6.2,26,6.2,0.039,76,0.14,72.2,43.8,58.9,0.07,154.74,0.69,68.8,14.9,2.1,49.2,15.7,4.8,0.3,36,16.9
"Turkey",4.45,4.15,1.86,3.75,3.47,3.18,2.6,2.6,4.04,6,0.97,1.37,0,3.95,0.36,0,1.14,3.16,2.26,1.5,3,2,6,0.67,-0.01,3.44,18.2,3.2,4.29,1.85,13.9,10.07,12.84,5.53,9,7.67,1557,0.54,0.45,1388,0.08,0.04,0.18,0.05,0.5,0.14,430,455,712,498,577,748,910,969,0.07,0.132,0.7,6.1,3.8,16,3.5,0.119,437,0.93,3.6,27.3,22.6,0.13,424.06,1.48,39,38.7,2.3,5.6,8,10.2,0.4,48,6.9
"United Kingdom",1.4,0.67,1.98,4.5,0.97,1.04,0.8,0.2,3.07,4.67,0.25,0.6,0.35,0.97,0.37,0,0.13,0.28,0.8,0,0,2,0,0.59,0.06,1.57,25.2,7.9,5.63,1.88,19.2,18.51,13.82,4.69,0.55,0.05,1962,0.03,1,4513,0.01,0.04,0.1,0.06,0.6,0.19,523,918,902,761,862,899,967,994,0.68,0.201,0.3,4.6,5.4,28,5.3,0.067,187,0.21,68.9,33.2,39.3,0.1,242.72,0.88,64.4,19.8,1.6,27.9,24.7,5.3,0.4,36,17.1
"United States",2.9,0.58,3,5.63,2.56,2.19,0.6,0.6,3.02,2,0.26,0.47,2.9,2.99,0.53,0,1.34,0.19,1.05,0,0,2,4.5,0.46,0.26,2.7,11.2,8.5,5,3.29,14.4,22.57,13.45,9.35,0.23,0.12,1414,23.47,1,2148,0.01,0.04,0.12,0.04,0.59,0.19,191,775,886,702,812,800,953,956,0.29,0.078,0.3,9.1,5.3,15,5.4,0.131,395,0.41,32.2,6.4,12.2,0.13,353.24,0.85,61.6,23,1.2,11.8,10.6,5.3,0.4,37,18.9
